"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,111754583E1;1,196411345E-2;-5,007579803E0;-3,521636724E0
2,121754583E1;2,500499725E0;-1,655235052E0;-8,389236450E0
2,131754583E1;6,759724021E-2;5,706881881E-1;-6,357131481E0
2,141754583E1;2,300698996E0;-3,999004841E0;-7,744370461E0
2,151754583E1;2,353341103E0;-9,588638306E0;-4,010969162E0
2,161754583E1;4,468596458E0;-1,310668564E1;-9,740582466E0
2,171754583E1;1,131206870E0;-9,415159225E0;-3,334996462E0
2,181754583E1;4,559523582E0;-8,014161110E0;-4,953142643E0
2,191754583E1;2,000399828E0;-6,651448727E0;-4,322035789E0
2,201754583E1;3,224926710E0;-2,930609465E0;-6,933801651E0
2,211754583E1;1,878365725E-1;1,779661894E0;-5,659623623E0
2,221754583E1;4,578666210E0;-5,070989609E0;-6,957131863E0
2,231754583E1;1,282552958E0;-5,227120876E0;-6,748956203E0
2,241754583E1;3,390629768E0;-1,133659554E1;-8,550751686E0
2,251754583E1;3,677170277E0;-1,078564835E1;-5,093721390E0
2,261754583E1;4,067798555E-1;-7,480561733E0;-3,966701746E0
2,271754583E1;5,721837044E0;-1,286022568E1;-9,902098656E0
2,281754583E1;1,670190215E0;-4,219742775E0;-6,065207005E0
2,291754583E1;4,135395527E0;-5,678766251E0;-1,011206818E1
2,301754583E1;3,011367321E0;-1,941775560E0;-5,813961029E0
2,311754583E1;3,715455294E0;-3,698107481E0;-5,765506268E0
2,321754583E1;8,506484628E-1;-1,045962620E1;-4,878965378E0
2,331754583E1;4,237090588E0;-1,297328663E1;-8,995218277E0
2,341754583E1;3,725624800E0;-7,842476368E0;-2,797209740E0
2,351754583E1;2,407179594E0;-9,087940216E0;-2,765504837E0
2,361754583E1;3,026322365E0;-7,082156658E0;-6,157330990E0
2,371754583E1;2,506481647E0;-5,148158073E0;-6,952346325E0
2,381754583E1;4,007977992E-2;-1,847259045E0;-3,127419233E0
2,391754583E1;5,648257732E0;-2,444866419E0;-5,286941528E0
2,401754583E1;3,546761274E0;-1,081376362E1;-5,475974560E0
2,411754583E1;3,150151014E0;-6,403791428E0;-5,414957523E0
2,421754583E1;4,155734539E0;-1,532124329E1;-8,790632248E0
2,431754583E1;2,027318954E0;-7,272984505E0;-4,434498787E0
2,441754583E1;4,724628448E0;-7,529016495E0;-7,372884750E0
2,451754583E1;5,340780258E0;-5,692524910E0;-8,867800713E0
