"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
2,612987410E1;-1,739133358E0;3,543018401E-1;-1,516931176E0
2,622987410E1;-2,352442026E0;-9,506590366E-1;-5,259549618E-1
2,632987410E1;-1,159116745E0;1,374446787E-3;-3,546072841E-1
2,642987410E1;1,322675943E0;6,414085031E-1;7,692320347E-1
2,652987410E1;2,287842989E0;2,231185287E-1;1,621541739E0
2,662987410E1;1,833817482E0;-5,184718966E-1;1,581530094E0
2,672987410E1;7,105889916E-1;9,560041130E-2;1,209513173E-1
2,682987410E1;-1,853975952E-1;1,332297087E0;-1,018923283E0
2,692987410E1;-1,541976571E0;-6,102544069E-1;-1,320385218E0
2,702987410E1;-2,383137941E0;-1,141707182E0;-1,614822268E0
2,712987410E1;-1,749212623E0;-4,358523488E-1;-2,848159075E-1
2,722987410E1;5,256495476E-1;9,500481486E-1;-1,050688252E-1
2,732987410E1;2,430632830E0;1,038165450E0;1,383457065E0
2,742987410E1;2,415361166E0;-4,347833395E-1;1,656513810E0
2,752987410E1;1,396438003E0;-8,303185701E-1;6,991352439E-1
2,762987410E1;-5,916230083E-1;9,682214260E-2;-7,073819637E-1
2,772987410E1;-9,447031021E-1;6,693555713E-1;-9,615018964E-1
2,782987410E1;-2,245388031E0;-5,183191895E-1;-1,545794487E0
2,792987410E1;-2,488206863E0;-5,606215596E-1;-3,966042697E-1
2,802987410E1;-4,948008358E-1;2,469422817E-1;-2,823724449E-1
2,812987410E1;1,850616217E0;7,545713186E-1;9,947940707E-1
2,822987410E1;2,097558498E0;-8,246680722E-3;2,073887587E0
2,832987410E1;2,088548183E0;-7,750352621E-1;1,233184218E0
2,842987410E1;2,092213482E-1;1,549917817E0;-1,016632438E0
2,852987410E1;-1,190118194E0;-1,178053617E0;-2,163990140E-1
2,862987410E1;-1,301601171E0;1,612226129E0;-2,561510801E0
2,872987410E1;-2,039679050E0;-7,736608386E-1;-5,659666657E-1
2,882987410E1;-1,265865445E0;-6,782131195E-1;-5,164865851E-1
2,892987410E1;8,907942176E-1;5,259549618E-1;4,918992519E-1
2,902987410E1;2,348013401E0;7,736608386E-1;1,404531956E0
2,912987410E1;1,747380018E0;4,291328415E-2;1,649641633E0
2,922987410E1;1,034805775E0;-2,225076705E-1;4,401284158E-1
2,932987410E1;-4,876231849E-1;9,230173826E-1;-7,305948138E-1
2,942987410E1;-1,163851023E0;-3,975205719E-1;-1,410793304E0
2,952987410E1;-1,857793927E0;-1,393078208E0;-1,445612550E0
2,962987410E1;-2,321440697E0;-6,740897894E-1;-5,978843570E-1
2,972987410E1;1,466076635E-2;5,080871582E-1;-5,054909736E-2
2,982987410E1;2,046551228E0;1,121395826E0;1,365589261E0
2,992987410E1;2,273029566E0;5,100724697E-1;2,300976753E0
3,002987410E1;1,560913444E0;-4,660901725E-1;1,079856992E0
3,012987410E1;-4,251621962E-1;-1,050688252E-1;-1,139110923E0
3,022987410E1;-9,954048991E-1;-1,819767594E0;-1,366810948E-1
3,032987410E1;-1,597870708E0;-1,009454802E-1;-9,037751555E-1
3,042987410E1;-2,230116367E0;-9,216429591E-1;-1,156062484E0
3,052987410E1;-3,524692357E-1;4,331034720E-1;-4,673119187E-1
3,062987410E1;1,709964514E0;8,103127480E-1;9,288206100E-1
3,072987410E1;2,088701010E0;-8,781187981E-2;2,011579275E0
3,082987410E1;2,230268955E0;-2,764165103E-1;1,514182210E0
3,092987410E1;1,001666307E0;6,959282160E-1;-1,037860036E0
3,102987410E1;-7,031059265E-1;1,773036420E-1;-6,284276247E-1
3,112987410E1;-1,236238599E0;-1,587180614E0;-1,589318633E0
3,122987410E1;-2,662456274E0;-5,233588219E-1;-5,587889552E-1
3,132987410E1;-1,397659659E0;-7,202101350E-1;-5,668829679E-1
3,142987410E1;5,253441334E-1;3,303253949E-1;4,796819389E-1
3,152987410E1;2,377945662E0;9,596692920E-1;1,333671570E0
3,162987410E1;1,956295967E0;3,588833287E-2;1,401782990E0
3,172987410E1;1,480126500E0;-4,509712756E-1;5,233588219E-1
3,182987410E1;-2,863430977E-1;-8,248208165E-1;-7,139487267E-1
3,192987410E1;-1,047633886E0;-8,199338913E-1;-8,669704795E-1
3,202987410E1;-2,397493362E0;-3,036000133E-1;-1,667662144E0
3,212987410E1;-1,958892107E0;-3,985895589E-2;-8,307767659E-2
3,222987410E1;-6,626361012E-1;2,660318017E-1;-2,299907655E-1
3,232987410E1;1,699579835E0;8,900306821E-1;1,031293273E0
3,242987410E1;2,181094408E0;3,489567637E-1;1,700343370E0
3,252987410E1;1,790598750E0;2,545780838E-1;1,584889889E0
3,262987410E1;-1,566869318E-1;-1,266476393E0;-9,315694682E-3
3,272987410E1;-8,148942590E-1;-8,093964458E-1;-8,491026759E-1
3,282987410E1;-1,331228137E0;-6,232352853E-1;-1,487762332E0
3,292987410E1;-2,365881205E0;-9,880745411E-2;-2,739730477E-1
3,302987410E1;-8,385652900E-1;-3,698789179E-1;-5,499314666E-1
3,312987410E1;6,553056836E-1;8,466592431E-1;1,365283877E-1
3,322987410E1;2,264019251E0;4,150829315E-1;1,543809175E0
3,332987410E1;2,010815620E0;9,575312585E-2;2,212248564E0
3,342987410E1;8,006916046E-1;1,817324013E-2;6,249151230E-1
3,352987410E1;-3,617849350E-1;1,121548533E0;-8,410087228E-1
3,362987410E1;-1,037554622E0;-4,326453209E-1;-1,458135366E0
3,372987410E1;-1,926210880E0;-7,483099103E-1;-1,212872982E0
3,382987410E1;-2,415819407E0;-3,184134960E-1;-6,359107494E-1
3,392987410E1;4,010330439E-1;2,054034323E-1;-3,875939846E-1
3,402987410E1;2,151620150E0;1,079246163E0;1,726916075E0
3,412987410E1;2,287232161E0;2,842050493E-1;1,526399493E0
3,422987410E1;1,699579835E0;3,782783151E-1;8,003861904E-1
3,432987410E1;-1,641700417E-1;1,886046380E-1;-7,310529947E-1
3,442987410E1;-1,182787776E0;-2,223549485E-1;-1,137431145E0
3,452987410E1;-2,058615923E0;-1,091616154E0;-1,554957509E0
3,462987410E1;-2,648253441E0;-9,379835725E-1;-4,981606007E-1
