"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
2,074533028E1;-1,961759949E1;3,268379974E1;2,271640015E1
2,084533028E1;-1,559159946E1;3,383060074E1;2,314340019E1
2,094533028E1;-1,229759979E1;3,357439804E1;2,439999962E1
2,104533028E1;-1,320039940E1;3,362319946E1;2,269199944E1
2,114533028E1;-1,315159988E1;3,472119904E1;2,160619926E1
2,124533028E1;-1,383479977E1;3,574599838E1;1,900759888E1
2,134533028E1;-1,801939964E1;3,359880066E1;1,788520050E1
2,144533028E1;-2,289939880E1;2,788920021E1;2,005679893E1
2,154533028E1;-2,331419945E1;2,375339890E1;2,447319984E1
2,164533028E1;-2,222839928E1;2,635199928E1;2,297259903E1
2,174533028E1;-1,171199989E1;3,207379913E1;2,322879982E1
2,184533028E1;-1,173639965E1;3,196399879E1;2,252120018E1
2,194533028E1;-1,139480019E1;3,108559990E1;2,347279930E1
2,204533028E1;-1,249279976E1;3,163459969E1;2,170380020E1
2,214533028E1;-1,261479950E1;3,456259918E1;1,681159973E1
2,224533028E1;-1,399339962E1;3,474559784E1;1,533539963E1
2,234533028E1;-1,643339920E1;3,379399872E1;1,462779999E1
2,244533028E1;-2,137439919E1;2,912139893E1;1,756799889E1
2,254533028E1;-2,119140053E1;2,544919968E1;2,429019928E1
2,264533028E1;-1,626259995E1;2,980459976E1;2,338739967E1
2,274533028E1;-1,066279984E1;3,237879944E1;2,310680008E1
2,284533028E1;-1,072379971E1;3,311079788E1;2,152079964E1
2,294533028E1;-1,352979946E1;3,328160095E1;1,858059883E1
2,304533028E1;-1,332240009E1;3,383060074E1;1,853179932E1
2,314533028E1;-1,413980007E1;3,555080032E1;1,531099987E1
2,324533028E1;-1,871479988E1;3,346459961E1;1,594539928E1
2,334533028E1;-2,359479904E1;2,594939995E1;2,238699913E1
2,344533028E1;-2,020319939E1;3,115880013E1;1,864159966E1
2,354533028E1;-1,611619949E1;3,463579941E1;1,794619942E1
2,364533028E1;-1,271239948E1;3,575819778E1;1,915399933E1
2,374533028E1;-1,451799965E1;3,649020004E1;1,816580009E1
2,384533028E1;-1,721419907E1;3,617300034E1;1,688479996E1
2,394533028E1;-2,293599892E1;3,246419907E1;1,848299980E1
2,404533028E1;-2,474160004E1;2,688879967E1;2,498559952E1
2,414533028E1;-2,246019936E1;3,336700058E1;1,948340034E1
2,424533028E1;-1,750699997E1;3,583139801E1;2,038619995E1
2,434533028E1;-1,377379990E1;3,689279938E1;2,153299904E1
2,444533028E1;-1,379819965E1;3,664879990E1;2,115480042E1
2,454533028E1;-1,534759998E1;3,745399857E1;1,998359871E1
2,464533028E1;-1,944680023E1;3,452600098E1;2,124020004E1
2,474533028E1;-2,225279999E1;2,937759972E1;2,479039955E1
2,484533028E1;-2,180139923E1;3,159799957E1;2,413159943E1
2,494533028E1;-1,440819931E1;3,629499817E1;2,357040024E1
2,504533028E1;-1,496939945E1;3,567279816E1;2,407059860E1
2,514533028E1;-1,492059994E1;3,658779907E1;2,315559959E1
2,524533028E1;-1,294419956E1;3,736859894E1;2,327759933E1
2,534533028E1;-7,307799816E0;4,244379807E1;1,627479935E1
2,544533028E1;-4,953199863E0;4,401760101E1;1,324919987E1
2,554533028E1;-2,244799852E0;4,513999939E1;1,034560013E1
2,564533028E1;-7,807999849E-1;4,551819992E1;9,528200150E0
2,574533028E1;-1,206579971E1;4,184600067E1;1,605520058E1
2,584533028E1;-1,834879875E1;4,007699966E1;1,520119953E1
2,594533028E1;-2,244799995E1;3,641699982E1;1,786079979E1
2,604533028E1;-2,174040031E1;3,395259857E1;2,341180038E1
2,614533028E1;-1,765340042E1;3,459920120E1;2,588839912E1
2,624533028E1;-1,531099987E1;3,359880066E1;2,841379929E1
2,634533028E1;-1,481079960E1;3,451379776E1;2,771839905E1
2,644533028E1;-1,438379955E1;3,781999969E1;2,342399979E1
2,654533028E1;-8,308199883E0;4,372480011E1;1,334679985E1
2,664533028E1;-7,563999653E0;4,468859863E1;9,064599991E0
2,674533028E1;-5,258199692E0;4,554259872E1;5,465600014E0
