"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,579288625E1;-2,370090723E0;-1,070728302E1;-1,031306505E0
2,589288625E1;-5,665007830E-1;-6,643074036E0;-1,576870084E0
2,599288625E1;-2,255833626E0;-4,028914928E0;1,938186288E-1
2,609288625E1;5,129613400E0;-1,319880962E1;-3,892524242E0
2,619288625E1;3,828516230E-2;-9,653244972E0;-3,932005882E0
2,629288625E1;-3,725624800E0;-1,319342613E1;1,938186288E0
2,639288625E1;-3,406781197E0;-1,188275719E1;1,837089539E0
2,649288625E1;-1,413560033E0;-9,457033157E0;1,362114310E0
2,659288625E1;-1,741376638E0;-8,982057571E0;1,521237016E0
2,669288625E1;-2,144567251E0;-9,423533440E0;-5,042873621E-1
2,679288625E1;-1,776670814E-1;-9,989436150E0;1,548156261E0
2,689288625E1;-7,345965505E-1;-1,140598774E1;7,034898400E-1
2,699288625E1;-6,011966705E0;-1,370309734E1;5,952146053E-1
2,709288625E1;-2,654238462E0;-1,106919765E1;-2,005185366E0
2,719288625E1;-1,585245013E0;-5,261816978E0;1,022333503E0
2,729288625E1;-2,024926186E0;-5,458028316E0;-2,153540403E-1
2,739288625E1;5,803193092E0;-1,448854065E1;-5,636891842E0
2,749288625E1;2,831307411E0;-8,221738815E0;-3,860819340E0
2,759288625E1;-6,413362980E0;-4,709074974E0;-1,933998942E0
2,769288625E1;9,361918569E-1;-1,249053383E1;-1,444666624E0
2,779288625E1;-3,643072546E-1;-9,189635277E0;1,784447432E0
2,789288625E1;-2,858824968E0;-8,721240044E0;2,620140910E-1
2,799288625E1;-8,554341197E-1;-9,196813583E0;-5,844469070E-1
2,809288625E1;5,341976285E-1;-1,102134132E1;4,576273263E-1
2,819288625E1;-1,256231815E-1;-1,339023590E1;-9,822536707E-1
2,829288625E1;-2,609373093E0;-1,183131123E1;-2,590230465E0
2,839288625E1;-6,275177598E-1;-9,669994354E0;7,788637877E-1
2,849288625E1;-2,126022816E0;-3,881756544E0;8,614161611E-2
2,859288625E1;-1,429711580E-1;-9,463015556E0;-1,508076429E0
2,869288625E1;4,067798331E-2;-9,339784622E0;-2,593819857E0
2,879288625E1;-6,263213158E-1;-1,292842102E1;-4,109672904E-1
2,889288625E1;-3,742972851E0;-8,727820396E0;1,962712765E0
2,899288625E1;-5,443671346E-1;-1,008933640E1;1,699502230E0
2,909288625E1;-8,189435601E-1;-1,010249710E1;5,246263742E-1
2,919288625E1;-6,424728632E-1;-9,809376717E0;3,122633696E-1
2,929288625E1;-9,589236975E-1;-9,703494072E0;1,139581800E0
2,939288625E1;-1,009771109E0;-9,841081619E0;7,680960894E-1
2,949288625E1;-1,320239902E0;-9,655039787E0;9,439685345E-1
2,959288625E1;-1,013360381E0;-9,678369522E0;3,984049559E-1
2,969288625E1;-9,607182741E-1;-9,976275444E0;1,273579836E0
2,979288625E1;-1,444068432E0;-1,046740246E1;3,170489967E-1
2,989288625E1;1,698904037E-1;-1,039442158E1;-1,341775298E0
2,999288625E1;1,429711580E-1;-1,161236858E1;-3,403790295E-1
3,009288625E1;-9,134600163E-1;-9,725627899E0;-1,914258152E-1
3,019288625E1;-3,493520916E-1;-5,289932728E0;-7,501499057E-1
3,029288625E1;3,876372576E0;-6,409175396E0;-3,601198196E0
3,039288625E1;2,020140409E0;-7,252645493E0;-4,349553585E0
3,049288625E1;2,384447813E0;-1,382453251E1;-3,474378586E0
3,059288625E1;-2,478366137E0;-1,236371422E1;1,317248821E0
3,069288625E1;1,818545163E-1;-9,994221687E0;1,302891970E0
3,079288625E1;2,476571500E-1;-8,806185722E0;5,754738450E-1
3,089288625E1;-1,420140266E0;-8,825327873E0;1,805982947E0
3,099288625E1;-1,588235974E0;-8,727820396E0;-5,365904570E-1
3,109288625E1;6,460621357E-1;-1,039980507E1;1,336391449E0
3,119288625E1;7,800601721E-1;-1,058524895E1;-2,236690998E0
3,129288625E1;-2,477169752E0;-1,500598907E1;-2,108076811E0
3,139288625E1;1,398006678E0;-1,129711437E1;9,475577474E-1
3,149288625E1;-8,883354068E-1;-5,650052547E0;8,374879360E-1
3,159288625E1;2,608774900E0;-6,846463680E0;-4,095914364E0
3,169288625E1;3,366103172E0;-1,433001614E1;-5,515456200E0
3,179288625E1;-2,581257343E0;-1,781277084E1;-2,512463629E-1
3,189288625E1;-4,639683247E0;-6,470192432E0;4,761118889E0
3,199288625E1;2,285145670E-1;-1,128634644E1;-5,240281820E-1
3,209288625E1;-1,058823988E-1;-7,656434059E0;1,850250125E0
3,219288625E1;-9,972088337E-1;-1,024726295E1;-2,444268227E0
3,229288625E1;1,424327731E0;-1,105244732E1;1,883151412E0
