"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1,791958085E2;5,233674733E1;4,868392075E0;3,162469648E0;1,446981668E0;1,752891541E2;4,165413857E0;3,000000000E0
1,801958235E2;5,233673740E1;4,868395750E0;3,127597063E0;1,418264985E0;1,757673645E2;4,268921375E0;3,000000000E0
1,811958715E2;5,233672854E1;4,868396404E0;3,138510931E0;1,380528092E0;1,764965210E2;4,392432690E0;3,000000000E0
1,821959375E2;5,233671867E1;4,868397941E0;3,025072113E0;1,354928732E0;1,764346161E2;4,509780884E0;3,000000000E0
1,831958915E2;5,233670490E1;4,868400846E0;2,822973006E0;1,365174055E0;1,773318329E2;4,529294014E0;3,000000000E0
1,841959375E2;5,233669080E1;4,868405265E0;2,614370764E0;1,381615281E0;1,760405884E2;4,594237328E0;3,000000000E0
1,851959145E2;5,233667467E1;4,868408065E0;2,562690719E0;1,414542437E0;1,705782928E2;4,609277725E0;3,000000000E0
1,861959825E2;5,233665863E1;4,868411046E0;2,735405533E0;1,443137884E0;1,702740326E2;4,705385208E0;3,000000000E0
1,871959585E2;5,233664026E1;4,868414371E0;2,698054490E0;1,486328363E0;1,692910004E2;4,697115898E0;3,000000000E0
1,881959845E2;5,233662684E1;4,868419144E0;2,657518569E0;1,484712362E0;1,714225006E2;4,697394371E0;3,000000000E0
1,891960095E2;5,233661330E1;4,868422079E0;2,764006368E0;1,481295109E0;1,652845459E2;4,657093048E0;3,000000000E0
1,901960005E2;5,233660089E1;4,868427977E0;2,718782792E0;1,470879436E0;1,604069214E2;4,511630535E0;3,000000000E0
1,911960855E2;5,233658941E1;4,868434861E0;2,472825076E0;1,455239773E0;1,551440735E2;4,357054234E0;3,000000000E0
1,921960575E2;5,233658089E1;4,868437996E0;2,540968357E0;1,411934137E0;1,544896088E2;4,318887711E0;3,000000000E0
1,931960675E2;5,233656876E1;4,868440561E0;2,742586589E0;1,401179075E0;1,532297668E2;4,336585522E0;3,000000000E0
1,941960995E2;5,233656174E1;4,868444965E0;3,155534979E0;1,350977659E0;1,527168884E2;4,051226616E0;3,000000000E0
1,951962525E2;5,233655201E1;4,868452901E0;3,090835886E0;1,334267378E0;1,560814209E2;4,268541336E0;3,000000000E0
1,961961865E2;5,233654150E1;4,868460957E0;2,916884597E0;1,326174378E0;1,556739655E2;4,454957962E0;3,000000000E0
1,971961475E2;5,233653240E1;4,868468462E0;2,889770247E0;1,309093118E0;1,550706940E2;4,619312286E0;3,000000000E0
1,981962995E2;5,233652064E1;4,868478637E0;2,909020820E0;1,320600748E0;1,616682129E2;4,778573036E0;3,000000000E0
1,991961705E2;5,233650986E1;4,868484180E0;2,923923818E0;1,313479185E0;1,604934692E2;4,967972755E0;3,000000000E0
2,001962025E2;5,233649985E1;4,868489231E0;3,060251420E0;1,298647165E0;1,649505005E2;4,892737865E0;3,008030415E0
2,011961875E2;5,233648932E1;4,868493829E0;2,989694479E0;1,287451506E0;1,694391327E2;4,849500179E0;3,037476063E0
2,021962595E2;5,233647307E1;4,868497075E0;2,731708915E0;1,322006702E0;1,730890656E2;4,886633873E0;3,063569784E0
2,031963205E2;5,233645839E1;4,868497049E0;2,609153903E0;1,338963389E0;1,759049225E2;4,768556595E0;3,097871542E0
2,041962625E2;5,233644063E1;4,868493073E0;2,711268581E0;1,380222321E0;1,814536285E2;4,750592232E0;3,136707306E0
2,051962835E2;5,233642815E1;4,868488160E0;2,720401279E0;1,373469949E0;1,858352509E2;4,744173050E0;3,167388201E0
2,061962985E2;5,233641639E1;4,868484048E0;2,655138432E0;1,358270168E0;1,938972778E2;4,771586418E0;3,190831423E0
2,071963265E2;5,233640713E1;4,868477702E0;2,701639969E0;1,326330662E0;1,963215637E2;4,757396698E0;3,209711075E0
2,081963945E2;5,233639415E1;4,868467851E0;2,704578581E0;1,332945585E0;2,034587708E2;4,760447025E0;3,228090763E0
2,091963625E2;5,233638649E1;4,868462624E0;2,575439216E0;1,286582232E0;2,048126678E2;4,841093063E0;3,243504763E0
2,101963825E2;5,233637930E1;4,868457152E0;2,421542810E0;1,240419984E0;2,066780701E2;4,851592064E0;3,250074863E0
2,111964045E2;5,233637452E1;4,868449748E0;2,497008517E0;1,187033653E0;2,041996613E2;4,951063633E0;3,257357121E0
2,121966115E2;5,233636733E1;4,868445231E0;2,547332595E0;1,148073435E0;1,997553101E2;5,063703060E0;3,272134542E0
2,131964095E2;5,233635579E1;4,868436352E0;2,580247563E0;1,153777957E0;2,054078522E2;5,158302307E0;3,291820526E0
2,141964625E2;5,233634636E1;4,868425816E0;2,507604915E0;1,147423744E0;1,984333496E2;5,324699879E0;3,308112621E0
2,151964585E2;5,233634174E1;4,868422246E0;2,517135212E0;1,007459641E0;1,984333496E2;5,316636086E0;3,045647860E0
