"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2,083209146E1;-3,794420958E-1;-1,034223557E0;-1,625084162E0
2,093075784E1;-3,306014061E0;-1,138460541E1;4,674825191E0
2,102943715E1;-2,000973225E0;5,473089218E-1;5,334694386E-1
2,112810839E1;1,532348871E0;2,535412312E0;-1,421883702E0
2,122680810E1;2,708563805E0;1,890037060E0;-1,722425222E-1
2,132548448E1;3,360756159E0;-2,868831635E0;-1,677651167E0
2,142416552E1;-7,246522903E0;-1,718873024E0;6,053538322E-1
2,152284549E1;-6,768487692E-1;4,621317863E0;9,050508738E-1
2,162151001E1;1,519998312E0;2,165228367E0;-1,141166210E0
2,172020337E1;4,408079624E0;1,532649994E0;1,734264374E0
2,181888104E1;-3,578192711E0;-6,651249886E0;2,010152340E0
2,191755913E1;1,047683001E0;-6,230307579E0;3,519751787E0
2,201623674E1;-1,202668309E0;1,174921989E0;1,884232163E-1
2,211490453E1;3,624879360E0;4,237829208E0;-9,556503296E-1
2,221358810E1;1,988565564E0;1,069177628E0;-2,120650291E0
2,231227512E1;4,728569031E0;-9,724857330E0;-6,432013988E0
2,241095396E1;-7,958601475E0;1,668126106E0;2,589306355E0
2,250960929E1;-3,366230428E-1;7,122915268E0;2,296914101E0
2,260829802E1;-2,936969995E-1;-1,961430550E0;-3,476284146E-1
2,270698114E1;2,834995031E0;2,992171764E0;-1,404839516E0
2,280566853E1;-1,402117133E0;-5,655674934E0;-2,634669304E0
2,290434932E1;4,385217667E0;-2,708390236E0;3,462281227E0
2,300302882E1;-1,796518922E0;-1,035281181E0;1,504060030E0
2,310168410E1;5,863484859E0;7,457637787E-2;-2,367630482E0
2,320038208E1;-5,070853710E0;1,230742455E0;-5,025720596E-1
2,329906490E1;-3,860579014E0;1,108204842E0;3,711013079E0
2,339774032E1;5,848481059E-1;-8,693967819E0;8,055239916E-2
2,349641958E1;2,078874350E0;6,076699734E0;-2,680404186E0
2,359507746E1;-1,793647289E0;-5,678432465E0;2,354653358E0
2,367527589E1;2,682874203E0;-1,244524002E0;3,228344202E0
2,375750799E1;3,331150532E0;-1,907264709E0;-2,400589585E-1
2,385750799E1;0,000000000E0;0,000000000E0;0,000000000E0
2,395750799E1;0,000000000E0;0,000000000E0;0,000000000E0
2,405750799E1;-5,361445427E0;-2,483866692E0;-1,513944626E0
2,415750799E1;-5,361445427E0;-2,483866692E0;-1,513944626E0
2,425750799E1;-5,361445427E0;-2,483866692E0;-1,513944626E0
2,435750799E1;-2,530186176E0;2,170842648E0;-1,410531998E0
2,445750799E1;1,675892353E0;-1,251275063E0;3,566687107E0
2,455750799E1;1,675892353E0;-1,251275063E0;3,566687107E0
2,465750799E1;1,675892353E0;-1,251275063E0;3,566687107E0
2,475750799E1;-3,928459644E0;-1,063957214E0;2,268726826E-1
2,485750799E1;-3,928459644E0;-1,063957214E0;2,268726826E-1
2,495750799E1;-3,928459644E0;-1,063957214E0;2,268726826E-1
2,505750799E1;-9,570777416E-1;8,706722260E-1;1,062106490E0
2,515750799E1;-6,182947636E0;-1,715070724E0;-1,836296618E-1
2,525750799E1;1,669291377E0;-3,663806915E0;2,821384668E0
2,535750799E1;-1,614153385E0;8,872261047E-1;-2,879087925E0
2,545750799E1;3,303938389E0;1,233882904E0;7,649990320E-1
2,555750799E1;3,735611916E0;-3,390785217E0;-8,408777714E-1
2,565750799E1;4,936181545E0;-1,446945190E0;-1,891418219E0
2,575750799E1;-8,389736176E0;-5,753154755E0;-3,302862167E0
2,585750799E1;-5,085245371E-1;4,972572327E-1;6,748443246E-1
2,595750799E1;-2,617257357E0;5,853381157E0;2,983969688E0
2,605750799E1;-1,447462320E0;5,115951061E0;1,234680653E0
2,615750799E1;3,910512209E0;-5,885670662E0;-2,185696125E0
2,625750799E1;-1,562371969E0;-2,177845001E0;-2,908522367E0
2,635750799E1;-6,994127274E0;5,504192829E0;5,146505237E-1
2,645750799E1;-2,025135756E0;-2,600148201E0;1,752866209E-1
2,655750799E1;1,480398059E0;8,950204849E-1;-8,289944530E-1
2,665750799E1;8,297954798E-1;3,058967590E-1;-7,173492908E-1
2,675750799E1;2,125431061E0;-9,089593887E-1;-2,874944925E0
2,685750799E1;3,815662622E0;-2,113430023E0;-9,722747803E-1
2,695750799E1;1,899298906E0;-2,949213028E0;-4,204798698E0
2,705750799E1;-6,328934669E0;-5,431427002E0;3,108385086E0
2,715750799E1;4,244963646E0;-4,302530289E-1;4,879866123E0
2,725750799E1;-2,223056793E0;5,172912121E0;4,163570404E0
2,735750799E1;-1,428615808E0;2,949672222E0;-7,985949516E-3
2,745750799E1;5,294666767E0;-4,888167381E0;-4,118721485E0
2,755750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,765750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,775750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,785750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,795750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,805750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,815750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,825750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,835750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,845750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,855750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,865750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,875750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,885750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,895750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,905750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,915750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,925750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,935750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
2,945750799E1;1,147297859E0;-2,467000008E0;-9,155945778E-1
