"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1,538926504E2;5,201709419E1;5,091331408E0;4,713030996E0;4,855811119E0;2,667461243E2;4,588251114E0;3,000000000E0
1,548925214E2;5,201709335E1;5,091262031E0;4,567871263E0;4,753478527E0;2,733406067E2;4,609472275E0;3,000000000E0
1,558924814E2;5,201710107E1;5,091208400E0;4,413488975E0;4,502218246E0;2,759006348E2;4,588121891E0;3,000000000E0
1,568925094E2;5,201711325E1;5,091158413E0;4,382187508E0;4,276814461E0;2,881362000E2;4,668323517E0;3,048460484E0
1,578925134E2;5,201713209E1;5,091101777E0;4,229073943E0;4,553182602E0;2,971476135E2;4,609398842E0;3,132611275E0
1,588925594E2;5,201716299E1;5,091042769E0;3,990049873E0;5,011385441E0;3,035754395E2;4,609373569E0;3,175387621E0
1,598925934E2;5,201720153E1;5,090979117E0;4,416828894E0;5,452051640E0;3,107610474E2;4,126915455E0;3,177944660E0
1,608925674E2;5,201723732E1;5,090922240E0;4,587105565E0;5,381043911E0;3,163125305E2;4,360330582E0;3,128740788E0
1,618925974E2;5,201727632E1;5,090883009E0;4,232572102E0;5,180709362E0;3,262897339E2;4,929298401E0;3,173847198E0
1,628926244E2;5,201731970E1;5,090852906E0;4,045288557E0;5,115986824E0;3,351328125E2;4,332059383E0;3,199947596E0
1,638926344E2;5,201736968E1;5,090837945E0;3,874658901E0;5,201387882E0;3,430179443E2;4,314925194E0;3,122683525E0
1,648926304E2;5,201742190E1;5,090833376E0;4,038575647E0;5,287437439E0;3,479213257E2;4,314852715E0;3,087619781E0
1,658926464E2;5,201747339E1;5,090833408E0;3,948541993E0;5,298375607E0;3,505793762E2;4,284043789E0;3,070131063E0
1,668926854E2;5,201751308E1;5,090853443E0;4,362336797E0;5,282408714E0;3,498056946E2;4,371580601E0;3,002630949E0
1,678926814E2;5,201756301E1;5,090863477E0;4,400949443E0;5,633739948E0;3,519138184E2;4,700174809E0;3,000000000E0
1,688927014E2;5,201761743E1;5,090879010E0;4,238938940E0;5,619682789E0;3,543852539E2;4,700074673E0;3,000000000E0
1,698927594E2;5,201766870E1;5,090883599E0;4,134235771E0;5,656755447E0;3,556867065E2;4,699968815E0;3,000000000E0
1,708927334E2;5,201772049E1;5,090885318E0;4,061810000E0;5,777283669E0;3,559382019E2;4,545906544E0;3,000000000E0
1,718927914E2;5,201776813E1;5,090884088E0;4,306436585E0;5,769560814E0;3,559656067E2;4,699761391E0;3,000000000E0
1,728927734E2;5,201781618E1;5,090881715E0;4,721774348E0;5,604058743E0;3,562615967E2;5,883140564E0;3,000000000E0
1,738928584E2;5,201786785E1;5,090874674E0;5,040418054E0;5,650308609E0;3,543685303E2;5,882557869E0;3,000000000E0
1,748932364E2;5,201792119E1;5,090864432E0;5,094834460E0;5,305649281E0;3,547773132E2;5,881967068E0;3,000000000E0
1,758928164E2;5,201797219E1;5,090852455E0;5,164453390E0;5,437454700E0;3,545379944E2;4,485676289E0;3,000000000E0
1,768928504E2;5,201801247E1;5,090838202E0;5,292893653E0;4,838828087E0;3,442503967E2;4,290896416E0;3,000000000E0
1,778928574E2;5,201804624E1;5,090795018E0;5,385365596E0;4,644716263E0;3,256855469E2;4,273467064E0;3,000000000E0
1,788929034E2;5,201807016E1;5,090737699E0;5,540933808E0;4,865284920E0;2,985328674E2;4,273523808E0;3,021605253E0
1,798929404E2;5,201808402E1;5,090650958E0;6,056442418E0;5,050225258E0;2,876166382E2;4,273580551E0;3,032283306E0
1,808929674E2;5,201810140E1;5,090535961E0;6,523945961E0;5,174025536E0;2,798769226E2;5,262828827E0;3,040131807E0
1,818929474E2;5,201810749E1;5,090429118E0;6,292348434E0;5,164601803E0;2,737427673E2;5,749088287E0;3,069894075E0
1,828929704E2;5,201811196E1;5,090341761E0;5,921333996E0;5,298654556E0;2,728846130E2;4,881445408E0;3,181921005E0
1,838929624E2;5,201811608E1;5,090236119E0;5,284168043E0;5,175658703E0;2,716864319E2;4,901371956E0;3,105672121E0
1,848930414E2;5,201811473E1;5,090156718E0;4,914964509E0;5,385365009E0;2,665021667E2;4,259499550E0;3,065353870E0
1,858930684E2;5,201810904E1;5,090082047E0;4,519083953E0;5,441324234E0;2,670560608E2;5,570683479E0;3,052103758E0
1,868930514E2;5,201810995E1;5,090011834E0;4,067617130E0;5,640504837E0;2,690898438E2;5,571688652E0;3,046921492E0
1,878930834E2;5,201811759E1;5,089934349E0;4,310205632E0;5,649480820E0;2,716476135E2;4,608665466E0;3,046458006E0
1,888930704E2;5,201813024E1;5,089852732E0;4,363404347E0;5,686245918E0;2,722263794E2;4,873424530E0;3,066709280E0
1,898930684E2;5,201812587E1;5,089768735E0;4,193235484E0;5,577495575E0;2,725640564E2;4,697855949E0;3,117328644E0
1,908930994E2;5,201812764E1;5,089685468E0;3,906772325E0;5,727195263E0;2,713952026E2;4,697751522E0;3,133238077E0
