Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
HIIT,2024-05-08 19:29:28,false,"HIIT","0.00","126","00:10:07","137","163","1.8","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","36","1","NaN:NaN","NaN","NaN:NaN","No","00:10:07","1","NaN","00:10:00","00:10:07","--","--"
Strength Training,2024-05-08 18:37:45,false,"Strength","0.00","391","00:49:13","120","157","1.8","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","232","14","NaN:NaN","26.0","NaN:NaN","No","00:49:13","1","29.0","00:17:27","00:49:13","--","--"
HIIT,2024-05-07 08:47:21,false,"HIIT","0.00","104","00:10:01","125","152","1.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","21","1","NaN:NaN","NaN","NaN:NaN","No","00:10:01","1","NaN","00:10:01","00:10:01","--","--"
Strength Training,2024-05-07 07:58:31,false,"Strength","0.00","215","00:45:42","93","121","0.3","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","194","20","NaN:NaN","25.0","NaN:NaN","No","00:45:42","1","29.0","00:12:03","00:45:42","--","--"
Pool Swim,2024-05-06 09:49:37,false,"Pool Swim","1,375","546","00:47:00","141","164","2.7","--","--","2:41","0:56","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1083","60","29","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:13.1","34","NaN","00:36:52","00:47:17","--","--"
Cycling,2024-05-05 12:53:00,false,"Nieuwegein Cycling","10.50","306","00:30:57","125","157","2.1","--","--","20.4","30.7","29","28","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:01:24.4","3","NaN","00:29:43","00:30:57","-7","8"
HIIT,2024-05-04 16:06:56,false,"HIIT","0.00","132","00:10:07","140","169","2.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","12","1","NaN:NaN","NaN","NaN:NaN","No","00:10:07","1","NaN","00:10:07","00:10:07","--","--"
Strength Training,2024-05-04 14:49:50,false,"Strength","0.00","570","01:14:59","119","160","2.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","300","20","NaN:NaN","25.0","NaN:NaN","No","01:14:59","1","29.0","00:24:52","01:14:59","--","--"
Strength Training,2024-05-03 07:54:06,false,"Strength","0.00","261","00:45:28","102","144","0.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","174","19","NaN:NaN","27.0","NaN:NaN","No","00:45:28","1","30.0","00:12:11","00:45:28","--","--"
HIIT,2024-05-02 08:38:33,false,"HIIT","0.00","132","00:10:17","140","161","1.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","35","1","NaN:NaN","NaN","NaN:NaN","No","00:10:17","1","NaN","00:10:17","00:10:17","--","--"
Pool Swim,2024-05-02 07:32:55,false,"Pool Swim","1,550","597","00:47:22","145","171","3.0","--","--","2:26","0:52","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1150","55","31","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:12.3","36","NaN","00:37:35","00:47:28","--","--"
HIIT,2024-05-01 09:56:38,false,"HIIT","0.00","127","00:10:01","138","162","1.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","15","1","NaN:NaN","NaN","NaN:NaN","No","00:10:01","1","NaN","00:10:01","00:10:01","--","--"
Strength Training,2024-05-01 08:49:10,false,"Strength","0.00","517","01:05:22","120","159","2.0","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","316","20","NaN:NaN","25.0","NaN:NaN","No","01:05:22","1","29.0","00:21:24","01:05:22","--","--"
Table Tennis,2024-04-30 16:32:06,false,"Table Tennis","0.07","115","00:13:30","115","148","0.9","21","158","0.3","6.1","--","--","0.24","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:13:30","1","NaN","00:01:14","00:13:30","--","--"
HIIT,2024-04-30 09:04:00,false,"HIIT","0.00","99","00:10:02","122","145","0.9","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","12","1","NaN:NaN","NaN","NaN:NaN","No","00:10:02","1","NaN","00:10:02","00:10:04","--","--"
Strength Training,2024-04-30 08:21:02,false,"Strength","0.00","217","00:40:44","99","126","0.4","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","178","18","NaN:NaN","27.0","NaN:NaN","No","00:40:44","1","29.0","00:11:42","00:40:44","--","--"
HIIT,2024-04-29 08:52:14,false,"HIIT","0.00","121","00:10:19","132","168","1.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","71","5","NaN:NaN","NaN","NaN:NaN","No","00:10:19","1","NaN","00:07:36.2","00:10:19","--","--"
Pool Swim,2024-04-29 07:31:48,false,"Pool Swim","2,175","598","00:51:15","142","160","2.8","--","--","2:13","0:43","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1479","50","31","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:10.9","15","NaN","00:48:13","00:51:37","--","--"
Strength Training,2024-04-28 16:29:19,false,"Strength","0.00","217","00:37:53","102","135","0.6","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","170","19","NaN:NaN","27.0","NaN:NaN","No","00:37:53","1","28.0","00:10:22","00:37:53","--","--"
Cycling,2024-04-27 22:28:32,false,"Utrecht Cycling","9.67","279","00:31:24","123","145","1.5","--","--","18.5","25.9","15","18","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:15:36","2","NaN","00:31:13","00:31:24","-2","10"
Pool Swim,2024-04-26 08:08:19,false,"Pool Swim","1,125","400","00:31:46","146","181","2.9","--","--","2:12","0:51","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","757","50","31","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:16.9","13","NaN","00:24:47","00:31:51","--","--"
Strength Training,2024-04-25 21:23:29,false,"Strength","0.00","211","00:36:28","103","128","0.5","--","--","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","152","16","NaN:NaN","25.0","NaN:NaN","No","00:36:28","1","30.0","00:11:53","00:36:28","--","--"
Cycling,2024-04-24 16:32:49,false,"Utrecht Cycling","10.21","248","00:29:57","119","140","1.3","--","--","20.5","29.5","23","21","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:51.2","3","NaN","00:29:20","00:29:57","-7","7"
Cycling,2024-04-24 07:37:11,false,"Nieuwegein Cycling","9.94","266","00:33:14","119","140","1.3","--","--","18.0","28.6","21","16","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:16:35","2","NaN","00:33:10","00:33:43","-7","9"
Cycling,2024-04-23 16:26:23,false,"Utrecht Cycling","11.17","313","00:33:50","126","155","2.0","--","--","19.8","36.8","34","37","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:03:41.7","3","NaN","00:32:59","00:34:54","-5","8"
Cycling,2024-04-23 09:35:43,false,"Nieuwegein Cycling","9.91","328","00:33:13","130","144","2.0","--","--","17.9","29.2","22","18","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:16:24","2","NaN","00:32:40","00:33:47","-7","7"
Pool Swim,2024-04-23 07:30:22,false,"Pool Swim","1,575","538","00:43:34","146","182","2.9","--","--","2:19","0:15","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","1053","51","29","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:00:08.8","31","NaN","00:36:27","00:43:53","--","--"
Cycling,2024-04-22 20:46:13,false,"Utrecht Cycling","10.33","330","00:28:27","137","152","2.2","--","--","21.8","28.8","15","19","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","NaN","NaN","--","NaN","NaN","NaN","--","NaN:NaN","NaN","NaN:NaN","No","00:01:17.2","3","NaN","00:28:18","00:28:27","-6","9"
