"Time (s)";"Illuminance (lx)"
1,145576223E3;1,632174988E2
1,145676223E3;1,632174988E2
1,145776223E3;1,632174988E2
1,145876223E3;1,632174988E2
1,145976223E3;1,632174988E2
1,146076223E3;1,632174988E2
1,146176223E3;1,632174988E2
1,146276223E3;1,632174988E2
1,146376223E3;1,632174988E2
1,146476223E3;1,632174988E2
1,146576223E3;1,632174988E2
1,146676223E3;1,632174988E2
1,146776223E3;1,632174988E2
1,146876223E3;1,632174988E2
1,146976223E3;1,632174988E2
1,147076223E3;1,632174988E2
1,147176223E3;1,632174988E2
1,147276223E3;1,632174988E2
1,147376223E3;1,632174988E2
1,147476223E3;1,632174988E2
1,147576223E3;1,632174988E2
1,147676223E3;1,632174988E2
1,147776223E3;1,632174988E2
1,147876223E3;1,632174988E2
1,147976223E3;1,632174988E2
1,148076223E3;1,632174988E2
1,148176223E3;1,632174988E2
1,148276223E3;1,632174988E2
1,148376223E3;1,632174988E2
1,148476223E3;1,632174988E2
1,148576223E3;1,632174988E2
1,148676223E3;1,632174988E2
1,148776223E3;1,632174988E2
1,148876223E3;1,632174988E2
1,148976223E3;1,632174988E2
1,149076223E3;1,632174988E2
1,149176223E3;1,632174988E2
1,149276223E3;1,632174988E2
1,149376223E3;1,632174988E2
1,149476223E3;1,632174988E2
1,149576223E3;1,632174988E2
1,149676223E3;1,632174988E2
1,149776223E3;1,632174988E2
1,149876223E3;1,632174988E2
1,149976223E3;1,632174988E2
1,150076223E3;1,632174988E2
1,150176223E3;1,632174988E2
1,150276223E3;1,632174988E2
1,150376223E3;1,632174988E2
1,150476223E3;1,632174988E2
1,150576223E3;1,632174988E2
1,150676223E3;1,632174988E2
1,150776223E3;1,632174988E2
1,150876223E3;1,228037491E2
1,150976223E3;1,228037491E2
1,151076223E3;1,228037491E2
1,151176223E3;1,228037491E2
1,151276223E3;1,228037491E2
1,151376223E3;1,228037491E2
1,151476223E3;1,228037491E2
1,151576223E3;1,228037491E2
1,151676223E3;1,228037491E2
1,151776223E3;1,228037491E2
1,151876223E3;1,228037491E2
1,151976223E3;1,228037491E2
1,152076223E3;1,228037491E2
1,152176223E3;1,228037491E2
1,152276223E3;1,228037491E2
1,152376223E3;1,228037491E2
1,152476223E3;1,228037491E2
1,152576223E3;1,228037491E2
1,152676223E3;1,228037491E2
1,152776223E3;1,228037491E2
1,152876223E3;1,228037491E2
1,152976223E3;1,228037491E2
1,153076223E3;1,114249954E2
1,153176223E3;1,114249954E2
1,153276223E3;1,114249954E2
1,153376223E3;1,114249954E2
1,153476223E3;1,114249954E2
1,153576223E3;1,114249954E2
1,153676223E3;1,114249954E2
1,153776223E3;1,114249954E2
1,153876223E3;1,114249954E2
1,153976223E3;1,114249954E2
1,154076223E3;1,114249954E2
1,154176223E3;1,114249954E2
1,154276223E3;1,114249954E2
1,154376223E3;1,114249954E2
1,154476223E3;1,114249954E2
1,154576223E3;1,725887451E2
1,154676223E3;1,725887451E2
1,154776223E3;1,586900024E2
1,154876223E3;1,586900024E2
1,154976223E3;1,586900024E2
1,155076223E3;1,586900024E2
1,155176223E3;1,586900024E2
1,155276223E3;1,586900024E2
1,155376223E3;1,586900024E2
1,155476223E3;1,586900024E2
1,155576223E3;1,586900024E2
1,155676223E3;1,586900024E2
1,155776223E3;1,586900024E2
1,155876223E3;1,586900024E2
1,155976223E3;1,586900024E2
1,156076223E3;1,586900024E2
1,156176223E3;1,586900024E2
1,156276223E3;1,586900024E2
1,156376223E3;1,586900024E2
1,156476223E3;1,586900024E2
1,156576223E3;1,586900024E2
1,156676223E3;1,586900024E2
