"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
2,452938326E1;-1,621257935E2;-9,874679565E1;-3,260205994E2
2,462938509E1;-1,629309998E2;-9,817340088E1;-3,264598083E2
2,472940223E1;-1,637850037E2;-9,841739655E1;-3,255325928E2
2,482939039E1;-1,640045929E2;-9,861259460E1;-3,260571899E2
2,492936915E1;-1,652977905E2;-9,923479462E1;-3,255691833E2
2,502940134E1;-1,658712006E2;-9,835639954E1;-3,251055908E2
2,512939886E1;-1,665177917E2;-9,881999969E1;-3,255570068E2
2,522937331E1;-1,669326019E2;-9,873459625E1;-3,251665955E2
2,532941034E1;-1,669326019E2;-9,856379700E1;-3,252519836E2
2,542936961E1;-1,667129974E2;-9,846620178E1;-3,252276001E2
2,552938300E1;-1,668593903E2;-9,751459503E1;-3,253617859E2
2,562940848E1;-1,669203949E2;-9,846620178E1;-3,249835815E2
2,572941141E1;-1,659199982E2;-9,918599701E1;-3,233609924E2
2,582939359E1;-1,651635895E2;-1,003083954E2;-3,208721924E2
2,592937080E1;-1,633457947E2;-1,013331985E2;-3,184931946E2
2,602939880E1;-1,628211975E2;-1,011989975E2;-3,172609863E2
2,612939490E1;-1,616011963E2;-1,017723999E2;-3,168339844E2
2,622940772E1;-1,613083954E2;-1,020407944E2;-3,171390076E2
2,632940784E1;-1,602104034E2;-1,028703995E2;-3,166387939E2
2,642936606E1;-1,601981964E2;-1,025897980E2;-3,160897827E2
2,652940878E1;-1,591977997E2;-1,033339996E2;-3,153211975E2
2,662938653E1;-1,600883942E2;-1,025775986E2;-3,157237854E2
2,672937013E1;-1,600883942E2;-1,025043945E2;-3,160776062E2
2,682940997E1;-1,599420013E2;-1,019309998E2;-3,144916077E2
2,692937107E1;-1,611497955E2;-1,009672012E2;-3,135033875E2
2,702937038E1;-1,604421997E2;-1,014430008E2;-3,125395813E2
2,712940798E1;-1,621380005E2;-1,001253967E2;-3,138815918E2
2,722939289E1;-1,622599945E2;-9,869799805E1;-3,157116089E2
2,732939261E1;-1,642364044E2;-9,702659607E1;-3,193837891E2
2,742937043E1;-1,665299988E2;-9,534299469E1;-3,227875977E2
2,752940063E1;-1,675059967E2;-9,425719452E1;-3,238367920E2
2,762942834E1;-1,678598022E2;-9,329339600E1;-3,233609924E2
2,772941182E1;-1,675547943E2;-9,158539581E1;-3,218725891E2
2,782939348E1;-1,685307922E2;-9,043859863E1;-3,209697876E2
2,792936386E1;-1,692017975E2;-8,932839966E1;-3,183833923E2
2,802938363E1;-1,705925903E2;-8,980419922E1;-3,185785828E2
2,812940781E1;-1,722883911E2;-9,010919952E1;-3,189812012E2
2,822941379E1;-1,729837952E2;-8,954799652E1;-3,171268005E2
2,832939341E1;-1,715563965E2;-9,013359833E1;-3,173097839E2
2,842937026E1;-1,717393951E2;-8,966999817E1;-3,162239990E2
2,852939817E1;-1,703242035E2;-9,030439758E1;-3,153211975E2
2,862936110E1;-1,696287994E2;-9,096319580E1;-3,142841797E2
2,872939879E1;-1,694214020E2;-9,258580017E1;-3,134667969E2
2,882940750E1;-1,691286011E2;-9,313479614E1;-3,143330078E2
2,892937137E1;-1,688114014E2;-9,467199707E1;-3,136131897E2
2,902939847E1;-1,685429993E2;-9,547719574E1;-3,145404053E2
2,912939351E1;-1,659931946E2;-9,650199890E1;-3,126737976E2
2,922939412E1;-1,633213959E2;-9,881999969E1;-3,102703857E2
2,932936222E1;-1,622599945E2;-1,018455963E2;-3,072691956E2
2,942936271E1;-1,605885925E2;-1,034804001E2;-3,075741882E2
2,952939173E1;-1,608569946E2;-1,045662003E2;-3,089284058E2
2,962940870E1;-1,605276031E2;-1,060545959E2;-3,091601868E2
2,972940797E1;-1,611985931E2;-1,068597946E2;-3,094651794E2
2,982936110E1;-1,619671936E2;-1,092266006E2;-3,096481934E2
2,992941941E1;-1,627357941E2;-1,132403946E2;-3,090137939E2
