"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3,109003208E1;2,433601618E-1;8,946639895E-1;3,777632117E-1
3,119052508E1;2,880893707E0;-1,433674455E0;6,819329262E-1
3,129101708E1;4,390430748E-1;-1,312689930E-1;-4,102453291E-1
3,139151008E1;1,077959985E-1;-6,284604669E-1;-1,164530396E0
3,149200208E1;1,142156720E-1;-3,345778286E-1;1,479030102E-1
3,159249408E1;9,525382519E-2;1,549452841E-1;-1,989409924E-1
3,169298708E1;2,694559991E-1;1,469042778E0;-1,377022862E0
3,179347971E1;-7,736908197E-1;-6,505888700E-1;-4,530040547E-2
3,189397271E1;1,224762201E-1;6,459884644E-1;1,723660469E0
3,199446471E1;-5,843596458E-1;1,242173910E0;7,627212405E-1
3,209495771E1;-1,622799158E0;1,565441251E0;-2,134046555E-1
3,219544971E1;-9,219588339E-2;3,736037314E-1;3,726159334E-1
3,229594271E1;2,523416996E0;-1,044307232E0;7,716842890E-1
3,239643471E1;1,238909841E0;-2,087751865E0;1,840972751E-1
3,249692771E1;-6,626929641E-1;-6,244910359E-1;-1,675299406E0
3,259741971E1;5,642979145E-1;-4,244984388E-1;-3,423346579E-1
3,269791271E1;-3,643327951E-1;-5,221060514E-1;2,525081933E-1
3,279840404E1;2,004356831E-1;-6,122954488E-1;-4,551874697E-1
3,289889704E1;-6,981801987E-1;-6,811131835E-1;-5,967497230E-1
3,299938904E1;-2,285893112E-1;-1,884106919E-2;1,285939813E0
3,309988204E1;-6,549550295E-1;8,313530684E-1;6,107193828E-1
3,320037404E1;-1,335290670E0;8,754794002E-1;5,956212059E-2
3,330086604E1;-7,972536981E-2;5,619822145E-1;1,467416883E-1
3,340135904E1;9,830178618E-1;3,375760019E-1;7,935944200E-1
3,350185104E1;1,946022868E0;-2,156171083E0;5,652198792E-1
3,360234404E1;1,383787245E-1;6,862282753E-1;-1,203510642E0
3,370283604E1;4,845515639E-2;-7,754864693E-1;-7,198948264E-1
3,380332904E1;-1,415546238E-1;-6,941293478E-1;3,577279150E-1
3,390382104E1;8,842575550E-2;-1,567997187E-1;-4,258282781E-1
3,400431404E1;-1,755194902E0;1,007829428E0;-7,499963045E-1
3,410480604E1;-9,966958165E-1;-3,232536018E-1;7,188427448E-1
3,420529904E1;-1,303850412E-1;5,210178494E-1;1,158089876E0
3,430579104E1;-6,958571672E-1;6,391558647E-1;4,375286400E-1
3,440628404E1;-1,084256411E0;1,786000371E0;-7,082997262E-2
3,450677604E1;-1,617362648E-1;8,424128890E-1;3,740778863E-1
3,460726904E1;2,797474146E0;-7,617835402E-1;1,048680663E0
3,470776154E1;5,704270005E-1;-1,977684379E0;1,686963588E-1
3,480825454E1;-4,042392671E-1;-1,494726539E0;-1,658128738E0
3,490874654E1;8,587781787E-1;-4,072315395E-1;-6,413679570E-2
3,500923954E1;-3,079833686E-1;-6,111965775E-1;1,203748360E-1
3,510973154E1;5,073330998E-1;-1,438144594E-1;-4,002920687E-1
3,521022454E1;-6,733589172E-1;-9,050514102E-1;-5,020607114E-1
3,531071654E1;1,020175219E-1;1,120368958E0;2,150610924E0
3,541120854E1;-3,455290198E-1;9,601229429E-1;3,883914649E-1
3,551170154E1;-9,464035034E-1;7,785403728E-1;-2,016234398E-1
3,561219354E1;-5,015445352E-1;9,892217517E-1;1,818122864E-1
3,571268633E1;9,132150412E-1;8,203200102E-1;8,778638244E-1
3,581317833E1;2,106918335E0;-2,083843946E0;3,073143065E-1
3,591367133E1;3,366927505E-1;4,693131149E-1;-1,225326061E0
3,601416333E1;3,108325899E-1;-5,982630253E-1;-8,626424074E-1
3,611465633E1;5,635004491E-3;-2,842213213E-1;7,045794278E-2
3,621514833E1;-6,913904846E-2;-1,207093447E-1;-4,633864462E-1
3,631564133E1;-1,388341784E0;-1,336753130E0;-6,028234363E-1
3,641613333E1;-8,570438623E-1;-6,979784966E-1;6,610152721E-1
3,651662633E1;-2,715151310E-1;6,505603194E-1;1,242422104E0
3,661711833E1;-5,896422863E-1;2,405784428E-1;5,738252997E-1
3,671761171E1;-1,178837180E0;1,790000558E0;3,703799844E-2
3,681810471E1;4,184704274E-2;2,578557730E-1;1,058739498E-1
3,691859671E1;1,910874367E0;-6,259083748E-1;9,884554893E-2
3,701908971E1;1,333366632E0;-1,636081696E0;7,265301049E-2
3,711958171E1;-2,720221579E-1;-6,012403965E-1;-1,629709244E0
3,722007471E1;9,051005244E-1;-4,984884262E-1;-4,922526777E-1
3,732056671E1;-3,750929832E-1;-3,016096652E-1;-2,014391124E-1
3,742105971E1;2,666146755E-1;-2,098346204E-1;-5,047606826E-1
3,752155171E1;-1,017966390E0;9,684285522E-2;-1,187433302E-1
3,762204471E1;-1,514638960E-1;-4,728870690E-1;1,022547722E0
3,772253617E1;-5,286661386E-1;4,654874206E-1;8,911770582E-1
3,782302917E1;-1,059443712E0;7,845772505E-1;2,737692893E-1
3,792352117E1;-3,491140008E-1;8,062370420E-1;1,708527356E-1
3,802401417E1;1,810688972E-1;-2,845550328E-2;3,423740864E-1
3,812450717E1;2,526736498E0;-1,753019571E0;-2,204022259E-1
3,822499917E1;2,384897321E-1;3,977936879E-2;-2,986724973E-1
3,832549217E1;1,502356380E-1;-2,094968855E-1;-1,328861356E0
3,842598417E1;3,815855980E-1;-2,018632293E-1;-1,727127135E-1
3,852647717E1;-9,468954802E-2;-2,155449688E-1;-2,531865537E-1
3,862696917E1;-9,534314871E-1;-5,403019786E-1;-2,592723668E-1
