"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
1,188539265E2;5,233483712E1;4,868872832E0;8,217448900E-1;4,546274416E-1;9,069192086E1;5,004095165E0;2,963708590E0
1,198539194E2;5,233483933E1;4,868868554E0;7,530752476E-1;1,613833298E-1;8,914754104E1;5,010568874E0;2,952750682E0
1,208545603E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,001093349E0;2,968771184E0
1,218545622E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,971952788E0;3,017320418E0
1,228545595E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,964706413E0;3,029228824E0
1,238545679E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,964865343E0;3,028968333E0
1,248545763E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,968506074E0;3,022992628E0
1,258545778E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,974555914E0;3,013026800E0
1,268545918E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,980966134E0;3,002417926E0
1,278546062E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,979345338E0;3,005105162E0
1,288546102E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,006611980E0;2,959454936E0
1,298546240E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,010316541E0;2,953178829E0
1,308546388E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,011703084E0;2,950825177E0
1,318546407E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,007769138E0;2,957496456E0
1,328546448E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,019884806E0;2,936885010E0
1,338546615E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,020623509E0;2,935622015E0
1,348546624E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,011556848E0;2,951073532E0
1,358546613E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,017547458E0;2,940876491E0
1,368546598E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,023094262E0;2,931392343E0
1,378546568E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,021231677E0;2,934581654E0
1,388546553E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,020230972E0;2,936293244E0
1,398546520E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,019544075E0;2,937467329E0
1,408546501E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,014553361E0;2,945978891E0
1,418546458E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,011835651E0;2,950600013E0
1,428546423E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,007183539E0;2,958487796E0
1,438546387E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,001313677E0;2,968399997E0
1,448546349E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,999271381E0;2,971838267E0
1,458546314E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,007077088E0;2,958667954E0
1,468546256E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,006347470E0;2,959902371E0
1,478546218E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,989549298E0;2,988132332E0
1,488546163E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,975590177E0;3,011318552E0
1,498546116E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,978705520E0;3,006165062E0
1,508546073E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,978536264E0;3,006445359E0
1,518546021E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,974613298E0;3,012932056E0
1,528545964E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,968309298E0;3,023316019E0
1,538545910E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,965243160E0;3,028348956E0
1,548545866E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,962160121E0;3,033398089E0
1,558545803E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,964521327E0;3,029532147E0
1,568545756E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,965535678E0;3,027869295E0
1,578545697E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,969864297E0;3,020759160E0
1,588545638E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,968931140E0;3,022293890E0
1,598545581E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,973056611E0;3,015500783E0
1,608545519E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,968248509E0;3,023415914E0
1,618545458E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,970267686E0;3,020095389E0
1,628545396E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,971029106E0;3,018841940E0
1,638545337E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,973584536E0;3,014629976E0
1,648545280E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;4,983886638E0;2,997567516E0
1,658545213E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,003766769E0;2,964263003E0
1,668545153E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,017479328E0;2,940992728E0
1,678545090E2;5,233483923E1;4,868867187E0;7,184519833E-1;0,000000000E0;8,914753992E1;5,025464670E0;2,927326747E0
1,688545022E2;5,233483846E1;4,868867590E0;4,967196202E-1;1,034818259E-1;8,914753990E1;5,110749016E0;2,837075645E0
1,698544952E2;5,233483830E1;4,868867056E0;4,843329052E-1;0,000000000E0;8,914753941E1;5,051553560E0;2,882072806E0
1,708544897E2;5,233483830E1;4,868867056E0;4,843329052E-1;0,000000000E0;8,914753941E1;5,053784201E0;2,878159531E0
1,718544828E2;5,233483830E1;4,868867056E0;4,843329052E-1;0,000000000E0;8,914753941E1;5,032950470E0;2,914437614E0
1,728544774E2;5,233483830E1;4,868867056E0;4,843329052E-1;0,000000000E0;8,914753941E1;5,019542329E0;2,937470314E0
1,738544700E2;5,233483830E1;4,868867056E0;4,843329052E-1;0,000000000E0;8,914753941E1;5,011621021E0;2,950964549E0
1,748544637E2;5,233483830E1;4,868867056E0;4,843329052E-1;0,000000000E0;8,914753941E1;5,001636640E0;2,967855784E0
1,758544567E2;5,233484224E1;4,868857756E0;4,501148257E-1;4,081973255E-2;8,914753383E1;5,007038877E0;2,958732620E0
1,768544507E2;5,233484067E1;4,868865352E0;3,435525103E-1;2,904610054E-1;8,914753911E1;5,062473934E0;2,862847307E0
1,778544430E2;5,233483981E1;4,868879996E0;5,831490308E-1;8,249126963E-1;1,108935941E2;5,104094302E0;2,787966712E0
1,788544369E2;5,233484607E1;4,868914710E0;5,191437639E-1;1,390737539E0;9,310211925E1;5,262844421E0;2,706978296E0
1,798544296E2;5,233484652E1;4,868895897E0;3,154556844E-1;8,738572666E-1;8,688630540E1;5,096879234E0;2,814602552E0
1,808544239E2;5,233485535E1;4,868921455E0;4,250425994E-1;1,052136139E0;8,315928653E1;5,073470724E0;2,843313533E0
1,818544172E2;5,233485676E1;4,868956036E0;4,012060892E-1;1,365506766E0;8,434769718E1;5,065261053E0;2,857913137E0
1,828544098E2;5,233486729E1;4,869004005E0;3,551794877E-1;1,450014140E0;8,031124322E1;5,064942465E0;2,858477717E0
1,838544035E2;5,233487617E1;4,869030712E0;1,688574720E-1;1,515081996E0;7,736442382E1;5,064709395E0;2,858890655E0
1,848543969E2;5,233487099E1;4,869043085E0;2,793316543E-1;1,436587169E0;8,358389912E1;5,040324157E0;2,901666663E0
1,858543898E2;5,233487180E1;4,869051046E0;6,197366873E-1;1,457173682E0;8,810626866E1;5,051842240E0;2,881566764E0
1,868543828E2;5,233487797E1;4,869089266E0;7,309923312E-1;1,307439842E0;8,858062107E1;5,034459077E0;2,911830839E0
1,878543762E2;5,233488082E1;4,869111908E0;8,674404118E-1;1,219744249E0;8,430273052E1;5,043903496E0;2,895440305E0
1,888543692E2;5,233488184E1;4,869130471E0;6,279353406E-1;1,042893888E0;7,655499257E1;5,057725608E0;2,871227735E0
1,898543618E2;5,233488895E1;4,869143076E0;7,816575626E-1;8,347598495E-1;6,782864403E1;5,055279283E0;2,875532716E0
1,908543556E2;5,233489228E1;4,869138916E0;6,967163505E-1;4,805184098E-1;4,988916323E1;5,083492477E0;2,825356839E0
1,918543482E2;5,233491344E1;4,869167490E0;-2,308131335E-1;7,258014996E-1;4,077201961E1;5,061165556E0;2,865159724E0
1,928543420E2;5,233493840E1;4,869201114E0;3,178017586E-1;9,698610484E-1;3,371577497E1;5,041227163E0;2,900097537E0
1,938543352E2;5,233494703E1;4,869210913E0;2,914035721E-1;9,451076957E-1;3,384165590E1;5,036952283E0;2,907515904E0
1,948543278E2;5,233495756E1;4,869229615E0;5,044772429E-1;1,147351319E0;3,845589721E1;5,005753918E0;2,960906068E0
1,958543216E2;5,233496903E1;4,869248525E0;4,359356202E-1;1,192875499E0;3,884671448E1;5,006649333E0;2,959391743E0
1,968543142E2;5,233497382E1;4,869255502E0;3,907164410E-1;9,688011402E-1;4,090275200E1;5,016690176E0;2,942338647E0
1,978543073E2;5,233497274E1;4,869258747E0;1,377331465E-2;7,712223233E-1;4,272187465E1;5,036080512E0;2,909025629E0
1,988543007E2;5,233496890E1;4,869262297E0;3,237840924E-1;5,701014132E-1;4,878559335E1;5,008943395E0;2,955507248E0
1,998542929E2;5,233496827E1;4,869260942E0;3,419687152E-1;0,000000000E0;4,880215167E1;5,014787616E0;2,945580112E0
2,008542862E2;5,233496827E1;4,869260942E0;3,419687152E-1;0,000000000E0;4,880215167E1;5,020788803E0;2,935339305E0
2,018542795E2;5,233496827E1;4,869260942E0;3,419687152E-1;0,000000000E0;4,880215167E1;5,016135642E0;2,943283923E0
2,028542733E2;5,233496827E1;4,869260942E0;3,419687152E-1;0,000000000E0;4,880215167E1;5,012322428E0;2,949773027E0
2,038542669E2;5,233496827E1;4,869260942E0;3,419687152E-1;0,000000000E0;4,880215167E1;5,018817279E0;2,938708927E0
2,048542593E2;5,233493754E1;4,869268329E0;3,850510838E-1;1,335995810E-1;4,880215626E1;5,074101235E0;2,842188187E0
2,058542526E2;5,233493507E1;4,869251839E0;3,156566825E-1;3,250128936E-3;4,880214344E1;5,106069380E0;2,784347772E0
2,068542453E2;5,233493516E1;4,869251721E0;3,121568915E-1;0,000000000E0;4,880214335E1;5,105527266E0;2,785341697E0
2,078542391E2;5,233493516E1;4,869251721E0;3,121568915E-1;0,000000000E0;4,880214335E1;5,033326418E0;2,913788290E0
2,088542308E2;5,233493516E1;4,869251721E0;3,121568915E-1;0,000000000E0;4,880214335E1;5,012028764E0;2,950271971E0
