"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
1,085535289E2;5,235535203E1;4,902656835E0;5,111081572E-1;1,288782473E1;2,436563529E2;5,429581488E0;2,181389485E0
1,095535264E2;5,235530135E1;4,902499981E0;5,636968808E-1;1,229125194E1;2,427255550E2;5,864046384E0;1,855328437E0
1,105535202E2;5,235526572E1;4,902358797E0;3,044214612E-1;1,153732070E1;2,443531564E2;6,214086412E0;1,436078961E0
1,115535150E2;5,235523271E1;4,902237024E0;3,554877173E-1;1,052281033E1;2,438125460E2;6,669097402E0;1,188175735E0
1,125535128E2;5,235519544E1;4,902130526E0;6,249345476E-1;9,702046440E0;2,423767279E2;7,758101017E0;1,135248393E0
1,135535055E2;5,235520456E1;4,902047877E0;7,174950484E-1;8,156435133E0;2,480691429E2;7,854420823E0;1,145557590E0
1,145535012E2;5,235520390E1;4,901947012E0;5,068605719E-1;7,276897036E0;2,485365059E2;7,422377742E0;1,110724305E0
1,155534987E2;5,235517664E1;4,901856461E0;5,868085036E-1;6,723432420E0;2,485728589E2;6,988732869E0;1,085429233E0
1,165534941E2;5,235514366E1;4,901788212E0;4,589663791E-1;5,692157032E0;2,434844796E2;6,276081502E0;1,560094850E0
1,175534869E2;5,235510868E1;4,901753492E0;2,835629592E-1;4,579687798E0;2,414378079E2;5,679496013E0;1,849799114E0
1,185534807E2;5,235511066E1;4,901723653E0;1,624814821E-1;3,168819134E0;2,479692203E2;5,437011255E0;2,064811285E0
1,195534780E2;5,235510741E1;4,901695813E0;4,681633711E-1;1,906123188E0;2,469743309E2;5,285596271E0;2,426315950E0
1,205534722E2;5,235510784E1;4,901703156E0;1,086340586E0;6,232043268E-1;2,468940625E2;5,232176943E0;2,539460862E0
1,215534667E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;2,468940649E2;5,204586597E0;2,595537591E0
1,225534629E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;2,468940649E2;5,119618512E0;2,759355599E0
1,235534579E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;2,468940649E2;5,047121855E0;2,889826640E0
1,245534538E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;2,468940649E2;5,037758023E0;2,906119601E0
1,255540568E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;5,023413542E0;2,930845171E0
1,265540651E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;5,021242552E0;2,934563045E0
1,275540684E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;5,022888786E0;2,931744408E0
1,285540794E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;5,011700032E0;2,950830361E0
1,295540843E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;5,001116669E0;2,968731900E0
1,305540818E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,997623324E0;2,974608907E0
1,315540823E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,986653017E0;2,992963201E0
1,325540878E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,982231492E0;3,000317716E0
1,335540864E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,979633162E0;3,004628197E0
1,345540881E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,969216034E0;3,021825448E0
1,355540891E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,956818583E0;3,042118763E0
1,365540854E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,958905415E0;3,038715867E0
1,375540868E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,958446152E0;3,039465214E0
1,385540879E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,961516041E0;3,034451451E0
1,395540833E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,964014618E0;3,030362339E0
1,405540768E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,978925719E0;3,005800345E0
1,415540693E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,989297723E0;2,988552370E0
1,425540638E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,975536817E0;3,011406717E0
1,435540568E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,990601483E0;2,986374703E0
1,445540500E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,986277094E0;2,993589447E0
1,455540431E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,979659091E0;3,004585224E0
1,465540372E2;5,235510863E1;4,901706151E0;1,030956647E0;0,000000000E0;NaN;4,983806633E0;2,997700532E0
1,475540299E2;5,235504767E1;4,901702294E0;1,585782220E0;0,000000000E0;NaN;4,991528836E0;2,984824437E0
1,485540249E2;5,235504767E1;4,901702294E0;1,585782220E0;0,000000000E0;NaN;4,996738622E0;2,976094787E0
1,495540190E2;5,235504767E1;4,901702294E0;1,585782220E0;0,000000000E0;NaN;4,989022732E0;2,989011411E0
1,505540119E2;5,235504767E1;4,901702294E0;1,585782220E0;0,000000000E0;NaN;4,984110444E0;2,997195375E0
1,515540060E2;5,235504767E1;4,901702294E0;1,585782220E0;0,000000000E0;NaN;5,000745744E0;2,969356670E0
1,525540009E2;5,235504767E1;4,901702294E0;1,585782220E0;0,000000000E0;NaN;5,019680688E0;2,937233872E0
1,535539955E2;5,235504318E1;4,901712395E0;1,479844519E0;0,000000000E0;NaN;4,993570004E0;2,981408332E0
1,545539901E2;5,235504594E1;4,901710180E0;1,399475423E0;0,000000000E0;NaN;4,991541418E0;2,984803395E0
1,555539857E2;5,235504594E1;4,901710180E0;1,399475423E0;0,000000000E0;NaN;4,992880802E0;2,982562376E0
1,565539781E2;5,235503726E1;4,901692962E0;1,966545887E0;5,190638779E-1;2,301504688E2;5,002578005E0;2,966268756E0
1,575539722E2;5,235503640E1;4,901690672E0;1,868982845E0;0,000000000E0;2,315185660E2;4,976347289E0;3,010067224E0
1,585539668E2;5,235503640E1;4,901690672E0;1,868982845E0;0,000000000E0;2,315185660E2;4,963429336E0;3,031320876E0
1,595539629E2;5,235502089E1;4,901599366E0;1,818235111E0;3,089138026E0;2,467900296E2;4,937629021E0;3,073167208E0
1,605539556E2;5,235500339E1;4,901532103E0;1,555587742E0;4,126750559E0;2,468526700E2;4,931196684E0;3,083477955E0
1,615539517E2;5,235497920E1;4,901460422E0;1,429291019E0;4,994470087E0;2,460348475E2;4,941957745E0;3,066201343E0
1,625539457E2;5,235495523E1;4,901381177E0;1,034452124E0;5,482095655E0;2,441020029E2;4,933085683E0;3,080454947E0
1,635539393E2;5,235492182E1;4,901291309E0;1,220564449E0;5,820199889E0;2,432492668E2;4,921864904E0;3,098351642E0
1,645539335E2;5,235489790E1;4,901206643E0;1,022075162E0;5,916179383E0;2,430600216E2;4,935663524E0;3,076322904E0
1,655539286E2;5,235487974E1;4,901134700E0;7,899724795E-1;5,694684605E0;2,438042274E2;4,914110944E0;3,110635090E0
1,665539237E2;5,235485303E1;4,901062988E0;7,521794280E-1;5,456073246E0;2,419423342E2;4,871064765E0;3,177619405E0
1,675539181E2;5,235482884E1;4,900993492E0;1,408603588E0;5,073054263E0;2,424878070E2;4,860303418E0;3,194055059E0
1,685539132E2;5,235481187E1;4,900944260E0;1,038471494E0;4,434253888E0;2,437821805E2;4,862627137E0;3,190516316E0
1,695539074E2;5,235479991E1;4,900895027E0;1,055340235E0;3,917722404E0;2,445035512E2;4,857269353E0;3,198667138E0
1,705539025E2;5,235478437E1;4,900857826E0;1,996307240E0;3,538178565E0;2,424460485E2;4,865260028E0;3,186499944E0
1,715538971E2;5,235477287E1;4,900828550E0;2,176811691E0;3,022498172E0;2,430770473E2;4,880149383E0;3,163649639E0
1,725538915E2;5,235475468E1;4,900798158E0;2,081166428E0;3,029258358E0;2,383041257E2;4,902611951E0;3,128727072E0
1,735538871E2;5,235474023E1;4,900759213E0;2,569595908E0;3,114741477E0;2,409966198E2;4,941280953E0;3,067291897E0
1,745538815E2;5,235470697E1;4,900698174E0;1,818979141E0;3,876076155E0;2,380197679E2;4,923887429E0;3,095136445E0
1,755538765E2;5,235468881E1;4,900630043E0;1,911162578E0;4,205463205E0;2,439158714E2;4,961144843E0;3,035058299E0
1,765538708E2;5,235467049E1;4,900580594E0;1,776771461E0;4,076860380E0;2,451367555E2;5,042171053E0;2,898456159E0
1,775538675E2;5,235466003E1;4,900534239E0;2,340502398E0;3,857282056E0;2,470420559E2;5,125742975E0;2,747962152E0
1,785538619E2;5,235464135E1;4,900476130E0;3,026314226E0;4,143837952E0;2,478683001E2;5,159015510E0;2,684975978E0
1,795538561E2;5,235461674E1;4,900396487E0;2,609544083E0;4,954403192E0;2,480106895E2;5,238563419E0;2,526260149E0
1,805538524E2;5,235459700E1;4,900310998E0;2,136620467E0;5,610551760E0;2,502763286E2;5,371272761E0;2,230238991E0
1,815538474E2;5,235456979E1;4,900197508E0;2,003266016E0;6,456874653E0;2,510892774E2;5,600734118E0;1,934867928E0
