"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3,101821163E1;-9,833082557E-2;-9,488272667E-2;3,686637878E-1
3,111821163E1;-1,355694532E-1;-1,275288463E-1;3,080005646E-1
3,121821163E1;-1,243667156E-1;-1,795466840E-1;-1,366615295E-3
3,131821163E1;-7,445952296E-2;-1,784251332E-1;-1,542921066E-1
3,141821163E1;4,715442657E-3;-1,707054377E-1;-2,967824936E-1
3,151821163E1;4,064604640E-2;-1,038170159E-1;-2,533941269E-1
3,161821163E1;7,377409935E-2;-1,081537306E-1;-8,900451660E-2
3,171821163E1;8,316451311E-2;-1,230138242E-1;6,803989410E-2
3,181821163E1;1,134584695E-1;-1,557956934E-1;2,957029343E-1
3,191821163E1;1,120284200E-1;-1,570301056E-1;3,296966553E-1
3,201821163E1;1,070403308E-1;-1,424241066E-1;1,427698135E-1
3,211821163E1;9,807430208E-2;-1,237040162E-1;-6,562423706E-2
3,221821163E1;6,979236007E-2;-1,210547388E-1;-3,211803436E-1
3,231821163E1;5,798879266E-2;-1,110579073E-1;-4,016008377E-1
3,241821163E1;1,917454600E-2;-1,106298268E-1;-1,575450897E-1
3,251821163E1;4,805743694E-3;-1,310000420E-1;-8,926105499E-2
3,261821163E1;-5,406349897E-3;-1,397085190E-1;9,492301941E-2
3,271821163E1;-1,123589650E-2;-1,253994703E-1;1,417684555E-1
3,281821163E1;-4,226786643E-2;-7,939150929E-2;2,392997742E-1
3,291821163E1;-5,813638866E-2;-2,349373698E-2;2,913599014E-1
3,301821163E1;-1,003731489E-1;-6,147953868E-2;2,085056305E-1
3,311821163E1;-9,730947018E-2;-8,329126239E-2;7,912635803E-2
3,321821163E1;-3,074466437E-2;-1,236273050E-1;-1,783981323E-1
3,331821163E1;1,617711782E-2;-1,573902965E-1;-2,881460190E-1
3,341821163E1;9,875529259E-2;-1,756383181E-1;-2,681007385E-1
3,351821163E1;1,814868301E-1;-1,230657399E-1;-1,376342773E-1
3,361821163E1;2,371080369E-1;-7,119545341E-2;4,863929749E-2
3,371821163E1;2,683116496E-1;-1,414945722E-2;3,384857178E-1
3,381821163E1;2,628272176E-1;-1,560890675E-2;4,076356888E-1
3,391821163E1;1,610345095E-1;-9,844425321E-2;1,726818085E-1
3,401821163E1;1,319141090E-1;-1,259768009E-1;-7,767486572E-2
3,411821163E1;1,076382548E-1;-1,316492856E-1;-4,049625397E-1
3,421821163E1;1,278920323E-1;-1,224899292E-1;-4,265251160E-1
3,431821163E1;1,335618645E-1;-5,278518796E-2;-1,271934509E-1
3,441821163E1;1,044491976E-1;-7,250708342E-2;1,069202423E-1
3,451821163E1;6,031390280E-2;-7,427221537E-2;3,524398804E-1
3,461821163E1;4,111613333E-2;-7,494407892E-2;3,940105438E-1
3,471821163E1;7,673554122E-3;-5,501741171E-2;2,346429825E-1
3,481821163E1;1,783611625E-2;-3,343185782E-2;9,666347504E-2
3,491821163E1;7,706493139E-2;-3,839829564E-2;-1,397037506E-1
3,501821163E1;1,430740058E-1;-5,899262428E-2;-2,212438583E-1
3,511821163E1;2,253268957E-1;-1,080939174E-1;-1,547794342E-1
3,521821163E1;2,672813535E-1;-1,226366460E-1;-7,729053497E-2
3,531821163E1;2,645065486E-1;-1,341648400E-1;1,811866760E-1
3,541821163E1;2,484094352E-1;-9,606534243E-2;2,272024155E-1
3,551821163E1;1,647343934E-1;-2,075117826E-2;1,480989456E-1
3,561821163E1;1,184509918E-1;-3,037658334E-2;9,982585907E-2
3,571821163E1;1,227105036E-1;-7,042431831E-2;-2,582426071E-1
3,581821163E1;1,767031252E-1;-9,873673320E-2;-3,505916595E-1
3,591821163E1;2,090107650E-1;-9,543675184E-2;-3,932094574E-1
3,601821163E1;1,552677006E-1;-5,903124809E-3;2,419757843E-1
3,611821163E1;7,384599745E-2;-1,281106472E-2;3,904237747E-1
3,621821163E1;1,416507065E-1;-5,362066627E-2;5,247383118E-1
3,631821163E1;1,608320624E-1;-5,190393329E-2;4,708862305E-1
