"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,231405908E1;-6,580262445E-3;-6,604190469E-1;9,839884758E0
2,241405908E1;-2,512463741E-2;-6,430711150E-1;9,825528145E0
2,251405908E1;-4,307080805E-2;-6,520441771E-1;9,796216011E0
2,261405908E1;-6,879365444E-2;-6,669993401E-1;9,824930191E0
2,271405908E1;-7,657032460E-2;-6,646065116E-1;9,824930191E0
2,281405908E1;-7,238288224E-2;-6,909275651E-1;9,777072906E0
2,291405908E1;-7,657032460E-2;-6,849454641E-1;9,793225288E0
2,301405908E1;-5,623133108E-2;-6,939185858E-1;9,809376717E0
2,311405908E1;-2,811566554E-2;-6,747759581E-1;9,845269203E0
2,321405908E1;2,033899166E-2;-6,538388133E-1;9,833304405E0
2,331405908E1;4,007977992E-2;-6,550351977E-1;9,834501266E0
2,341405908E1;4,905286431E-2;-6,640082598E-1;9,789635658E0
2,351405908E1;7,597211748E-2;-6,681957245E-1;9,770493507E0
2,361405908E1;8,015955985E-2;-7,004988194E-1;9,725627899E0
2,371405908E1;9,092725813E-2;-6,855437160E-1;9,729216576E0
2,381405908E1;8,793623000E-2;-6,747759581E-1;9,808777809E0
2,391405908E1;8,973085135E-2;-6,652047038E-1;9,846465111E0
2,401405908E1;5,802594870E-2;-6,496513486E-1;9,851250648E0
2,411405908E1;3,290131316E-2;-6,526423693E-1;9,862616539E0
2,421405908E1;3,589233849E-3;-6,664010882E-1;9,808179855E0
2,431405908E1;-8,973085321E-3;-6,460621357E-1;9,770493507E0
2,441405908E1;-1,076770201E-2;-6,592226624E-1;9,745966911E0
2,451405908E1;-1,914258115E-2;-6,681957245E-1;9,751948357E0
2,461405908E1;-1,794616925E-3;-6,598208547E-1;9,777671814E0
2,471405908E1;2,392822644E-3;-6,735795736E-1;9,839286804E0
2,481405908E1;2,392822644E-3;-6,825526357E-1;9,878170013E0
2,491405908E1;2,632104978E-2;-6,412764788E-1;9,888937950E0
2,501405908E1;4,187439755E-2;-6,424728632E-1;9,837491989E0
2,511405908E1;3,230310604E-2;-6,388836503E-1;9,766903877E0
2,521405908E1;1,435693540E-2;-6,484549642E-1;9,695717812E0
2,531405908E1;-2,991028363E-3;-6,813562512E-1;9,650852203E0
2,541405908E1;-1,854437590E-2;-6,628118753E-1;9,760921478E0
2,551405908E1;-7,776673418E-3;-6,681957245E-1;9,875777245E0
2,561405908E1;-3,589233849E-3;-6,544370055E-1;9,981659889E0
2,571405908E1;1,854437590E-2;-6,329016089E-1;1,002592659E1
2,581405908E1;7,776673418E-3;-6,448656917E-1;9,927223206E0
2,591405908E1;-5,982056609E-4;-6,687939167E-1;9,708279610E0
2,601405908E1;2,991028363E-3;-6,789634228E-1;9,595816612E0
2,611405908E1;6,580262445E-3;-6,789634228E-1;9,601799011E0
2,621405908E1;1,734796353E-2;-6,556333899E-1;9,668199539E0
2,631405908E1;-5,383851007E-3;-6,568298340E-1;9,811769485E0
2,641405908E1;-1,674975827E-2;-6,382854581E-1;9,832108498E0
2,651405908E1;3,469592705E-2;-6,604190469E-1;9,872786522E0
2,661405908E1;1,734796353E-2;-6,149554253E-1;9,941579819E0
2,671405908E1;1,010967568E-1;-6,400800347E-1;9,926624298E0
2,681405908E1;1,519442350E-1;-6,436693072E-1;9,903892517E0
2,691405908E1;1,956132501E-1;-6,227321029E-1;9,844670296E0
2,701405908E1;2,057827413E-1;-6,299105883E-1;9,826126099E0
2,711405908E1;1,615155339E-1;-6,424728632E-1;9,693324089E0
2,721405908E1;1,417747438E-1;-6,681957245E-1;9,662218094E0
2,731405908E1;1,016949639E-1;-6,610172391E-1;9,742377281E0
2,741405908E1;9,092725813E-2;-6,658028960E-1;9,731011391E0
2,751405908E1;8,374879137E-3;-6,616154313E-1;9,821938515E0
2,761405908E1;-2,632104978E-2;-6,849454641E-1;9,867402077E0
2,771405908E1;-3,649054468E-2;-6,227321029E-1;9,927821159E0
2,781405908E1;-3,589234129E-2;-5,994020700E-1;9,900901794E0
2,791405908E1;-3,888336942E-2;-5,934200287E-1;9,809376717E0
2,801405908E1;-6,939185411E-2;-6,610172391E-1;9,550353050E0
2,811405908E1;-8,733802289E-2;-6,544370055E-1;9,512666702E0
2,821405908E1;-1,351944804E-1;-6,041877270E-1;9,704092026E0
2,831405908E1;-1,752742529E-1;-6,412764788E-1;9,792626381E0
2,841405908E1;-1,142572835E-1;-6,089733839E-1;1,019043350E1
2,851405908E1;-1,064806059E-1;-6,071787477E-1;1,019402313E1
2,861405908E1;6,281159073E-2;-6,628118753E-1;1,005224800E1
2,871405908E1;1,322034448E-1;-6,927221417E-1;9,753743172E0
2,881405908E1;3,672982752E-1;-6,436693072E-1;9,547362328E0
2,891405908E1;3,242274821E-1;-5,814558864E-1;9,632905960E0
2,901405908E1;3,373879790E-1;-6,263213158E-1;9,641879082E0
2,911405908E1;2,488535494E-1;-5,665007830E-1;9,791430473E0
2,921405908E1;1,322034448E-1;-6,191428304E-1;9,796813965E0
2,931405908E1;1,268195957E-1;-6,448656917E-1;9,764511108E0
2,941405908E1;1,597209126E-1;-6,137589812E-1;9,850652695E0
2,951405908E1;1,728814393E-1;-5,946164131E-1;9,926624298E0
2,961405908E1;1,758724600E-1;-5,766702294E-1;9,924830437E0
2,971405908E1;1,435693651E-1;-5,712863803E-1;9,832108498E0
2,981405908E1;7,118647546E-2;-5,599204898E-1;9,652048111E0
2,991405908E1;3,888336942E-2;-5,970092416E-1;9,580862045E0
