"Time (s)";"Temperature (°C)"
3,754222488E1;3,253125000E1
3,764222488E1;3,252343750E1
3,774222488E1;3,252343750E1
3,784222488E1;3,255859375E1
3,794222488E1;3,252343750E1
3,804222488E1;3,250781250E1
3,814222488E1;3,248437500E1
3,824222488E1;3,249218750E1
3,834222488E1;3,247265625E1
3,844222488E1;3,250000000E1
3,854222488E1;3,250000000E1
3,864222488E1;3,248437500E1
3,874222488E1;3,249218750E1
3,884222488E1;3,247656250E1
3,894222488E1;3,247656250E1
3,904222488E1;3,249218750E1
3,914222488E1;3,247656250E1
3,924222488E1;3,244531250E1
3,934222488E1;3,248437500E1
3,944222488E1;3,248046875E1
3,954222488E1;3,248828125E1
3,964222488E1;3,248046875E1
3,974222488E1;3,244921875E1
3,984222488E1;3,241796875E1
3,994222488E1;3,244140625E1
4,004222488E1;3,239843750E1
4,014222488E1;3,238281250E1
4,024222488E1;3,239062500E1
4,034222488E1;3,241015625E1
4,044222488E1;3,244140625E1
4,054222488E1;3,244921875E1
4,064222488E1;3,244140625E1
4,074222488E1;3,241796875E1
4,084222488E1;3,239843750E1
4,094222488E1;3,239062500E1
4,104222488E1;3,244921875E1
4,114222488E1;3,237500000E1
4,124222488E1;3,239062500E1
4,134222488E1;3,238281250E1
4,144222488E1;3,239843750E1
4,154222488E1;3,241796875E1
4,164222488E1;3,239843750E1
4,174222488E1;3,237500000E1
4,184222488E1;3,238281250E1
4,194222488E1;3,239062500E1
4,204222488E1;3,237500000E1
4,214222488E1;3,242578125E1
4,224222488E1;3,244140625E1
4,234222488E1;3,238281250E1
4,244222488E1;3,236718750E1
4,254222488E1;3,235937500E1
4,264222488E1;3,237500000E1
4,274222488E1;3,237500000E1
4,284222488E1;3,236718750E1
4,294222488E1;3,238671875E1
4,304222488E1;3,236718750E1
4,314222488E1;3,236718750E1
4,324222488E1;3,234375000E1
4,334222488E1;3,235937500E1
4,344222488E1;3,234375000E1
4,354222488E1;3,239062500E1
4,364222488E1;3,239062500E1
4,374222488E1;3,239062500E1
4,384222488E1;3,238281250E1
4,394222488E1;3,239062500E1
4,404222488E1;3,241015625E1
4,414222488E1;3,238281250E1
