"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
3,524752036E1;-1,190719986E1;4,422499847E1;1,997139931E1
3,534752036E1;-1,505480003E1;3,916199875E1;2,766959953E1
3,544752036E1;-1,627479935E1;3,800299835E1;2,754759979E1
3,554752036E1;-1,327359962E1;4,409079742E1;1,948340034E1
3,564752036E1;-5,392399788E0;4,786059952E1;1,219999981E1
3,574752036E1;2,635200024E0;4,914159775E1;9,040200233E0
3,584752036E1;1,890999913E0;4,888539886E1;9,479399681E0
3,594752036E1;-2,415600061E0;4,858039856E1;1,072379971E1
3,604752036E1;-8,308199883E0;4,650639725E1;1,545739937E1
3,614752036E1;-1,088239956E1;4,405419922E1;2,244799995E1
3,624752036E1;-1,132159996E1;3,879599762E1;3,039019966E1
3,634752036E1;-1,467659950E1;3,703919983E1;3,200059891E1
3,644752036E1;-1,377379990E1;4,126039886E1;2,680340004E1
3,654752036E1;-6,624599934E0;4,679919815E1;1,827560043E1
3,664752036E1;2,927999973E0;4,893420029E1;1,321259975E1
3,674752036E1;7,746999741E0;4,911719894E1;1,035779953E1
3,684752036E1;2,403399944E0;4,887319946E1;1,188280010E1
3,694752036E1;-3,342799902E0;4,900740051E1;1,423740005E1
3,704752036E1;-9,930799484E0;4,577439880E1;2,114259911E1
3,714752036E1;-1,143139935E1;4,051620102E1;2,984119987E1
3,724752036E1;-1,300519943E1;3,712459946E1;3,379399872E1
3,734752036E1;-1,460339928E1;3,973539734E1;2,913360023E1
3,744752036E1;-1,244399929E1;4,566460037E1;1,911739922E1
3,754752036E1;-4,587199688E0;4,910499954E1;1,223659992E1
3,764752036E1;1,171200037E0;4,904399872E1;9,662400246E0
3,774752036E1;1,171200037E0;4,904399872E1;9,662400246E0
3,784752036E1;-2,830399990E0;4,872679901E1;1,016259956E1
3,794752036E1;-1,322480011E1;4,332220078E1;2,256999969E1
3,804752036E1;-1,434719944E1;3,724660110E1;2,997539902E1
3,814752036E1;-1,596980000E1;3,628279877E1;3,100020027E1
3,824752036E1;-1,421299934E1;4,084560013E1;2,490019989E1
3,834752036E1;-8,137399673E0;4,593299866E1;1,653100014E1
3,844752036E1;5,733999610E-1;4,798259735E1;1,219999981E1
3,854752036E1;4,794600010E0;4,853160095E1;1,028460026E1
3,864752036E1;2,171599865E0;4,848279953E1;1,034560013E1
3,874752036E1;-1,829999924E0;4,799480057E1;1,154119968E1
3,884752036E1;-8,295999527E0;4,676259995E1;1,504259968E1
3,894752036E1;-1,187059975E1;4,318799973E1;2,322879982E1
3,904752036E1;-1,459119987E1;3,834460068E1;2,903599930E1
3,914752036E1;-1,833659935E1;3,681959915E1;2,997539902E1
3,924752036E1;-1,673839951E1;4,051620102E1;2,441219902E1
3,934752036E1;-1,077260017E1;4,556699753E1;1,747039986E1
3,944752036E1;-2,598599911E0;4,904399872E1;1,205359936E1
3,954752036E1;2,622999907E0;4,899519730E1;9,723400116E0
3,964752036E1;1,805599928E0;4,922699738E1;9,564800262E0
3,974752036E1;-3,233000040E0;4,903179932E1;1,182180023E1
3,984752036E1;-8,369199753E0;4,728720093E1;1,540859985E1
3,994752036E1;-1,226099968E1;4,368819809E1;2,287500000E1
4,004752036E1;-1,404220009E1;3,712459946E1;3,151259995E1
4,014752036E1;-1,440819931E1;3,627059937E1;3,253739929E1
4,024752036E1;-1,390799999E1;3,908879852E1;2,714499855E1
4,034752036E1;-1,001620007E1;4,437139893E1;2,080099869E1
4,044752036E1;-1,842199922E0;4,798259735E1;1,395679951E1
4,054752036E1;4,330999851E0;4,790940094E1;1,027239990E1
4,064752036E1;3,062199831E0;4,765319824E1;1,121179962E1
4,074752036E1;-1,756799936E0;4,738479996E1;1,127279949E1
4,084752036E1;-9,040200233E0;4,638439941E1;1,472539997E1
4,094752036E1;-1,301739979E1;4,320019913E1;2,156959915E1
4,104752036E1;-1,476200008E1;3,723439789E1;2,998760033E1
4,114752036E1;-1,634799957E1;3,522140121E1;3,087819862E1
4,124752036E1;-1,645779991E1;4,002819824E1;2,549799919E1
4,134752036E1;-1,066279984E1;4,557920074E1;1,783639908E1
