"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3,323372280E1;1,003180981E0;2,045372486E0;-1,371345997E0
3,333247306E1;2,046413422E0;8,991603851E-1;3,478217125E-1
3,343110113E1;4,394023895E0;-2,940056801E0;-2,207301617E0
3,352976118E1;7,383565903E-1;3,831068993E0;-1,715946674E0
3,362844418E1;1,081694603E0;-1,999849319E0;-2,485027313E-1
3,372708255E1;9,519252777E-1;-1,757498741E0;8,069760799E-1
3,382577493E1;3,278901577E0;8,470344543E-2;3,906986713E-1
3,392446626E1;2,544842243E0;-2,356352806E-1;-6,875848770E-1
3,402312111E1;1,488055706E0;-4,294319153E-1;1,158404350E0
3,412180688E1;-1,134993076E0;5,812940598E-1;2,887826204E0
3,422044452E1;2,539927006E0;-1,138367176E0;7,126641273E-1
3,431914456E1;-2,710760355E0;1,959112644E0;-1,372861862E-2
3,441783480E1;-2,253762960E0;1,943098068E0;1,804456711E-1
3,451649616E1;9,881496429E-3;2,247419834E0;-1,666224718E0
3,461516884E1;1,227647543E0;-9,821510315E-1;-3,232374191E-1
3,471381111E1;2,214305878E0;-2,193786621E0;-2,671400785E0
3,481251671E1;1,038597584E0;-3,875217438E-1;-1,111205101E0
3,491118933E1;3,590917110E0;-1,010372162E0;5,605697632E-2
3,500985141E1;3,659982681E-1;-5,111784935E-1;1,136537075E0
3,510850952E1;-1,176143646E0;-9,384055138E-1;2,476603985E0
3,520716870E1;-2,498913288E0;-1,382563591E0;1,958207130E0
3,530589100E1;-3,329917669E0;5,222534180E0;1,152457237E0
3,540454350E1;1,312212944E-1;7,058248520E-1;-8,396687508E-1
3,550320441E1;2,453000546E0;-5,711421967E-1;-1,569116592E0
3,560187725E1;2,555628300E0;-3,348414421E0;-4,571471214E0
3,570052662E1;-9,274938107E-1;-1,023077011E0;-7,199139595E-1
3,579923569E1;2,199175835E0;-2,980565071E0;1,233613491E0
3,589789308E1;1,705835819E0;-3,283917427E0;1,187289476E0
3,599658308E1;-9,710636139E-1;-1,317168713E0;2,750507593E0
3,609525302E1;-1,842027903E0;9,013364315E-1;4,484572411E-1
3,619389476E1;-4,514680386E0;1,743705511E0;2,735875845E0
3,629256314E1;3,460907936E-1;2,900114059E-1;-3,408088684E-1
3,639126897E1;-4,003572464E-1;2,774912357E0;-2,818908691E0
3,648992820E1;3,389917612E0;1,912745476E0;1,268069506E0
3,658857309E1;4,271473885E0;-2,518656731E0;1,460258961E-1
3,668724203E1;-3,451285362E-1;5,890154839E-1;-2,306764126E-1
3,678595859E1;-2,413663864E-1;1,493666172E0;-1,030869961E0
3,688462462E1;2,738976479E-1;-1,400620461E0;-9,128494263E-1
3,698330300E1;-2,313506842E0;-1,731606483E0;1,796736240E0
3,708198034E1;-1,971882820E0;2,359478474E-1;3,174321651E0
3,718061678E1;-9,281392097E-1;1,855422020E0;1,025832653E0
3,727932229E1;7,931914330E-1;9,309840202E-1;6,127617359E-1
3,737799180E1;9,385516644E-1;-1,193917274E0;-1,014490128E-1
3,747664799E1;1,341773033E0;-7,490777969E-1;-2,350553989E0
3,757534910E1;8,303084373E-1;-1,026376724E0;-1,088707447E0
3,767397332E1;1,045095444E0;-9,138679504E-1;1,134106636E0
3,777266724E1;-9,908714294E-1;-4,790968895E-1;3,761391640E-1
3,787135194E1;8,218479156E-2;-1,196102619E0;2,252365589E0
3,797005589E1;-2,463937044E0;2,723572254E-1;1,984249115E0
3,806870379E1;-3,578155279E0;2,135535002E0;1,463465691E0
3,816733593E1;8,097801208E-1;3,303971291E-1;2,436203957E-1
3,826602098E1;5,457358360E-1;2,390678406E0;1,750978470E0
3,836469032E1;3,003829241E0;-5,492419243E0;-2,616621733E0
3,846335246E1;2,572461367E0;-1,679157257E0;-5,697016716E-1
3,856205755E1;-1,158108473E0;1,000995159E0;9,357328415E-1
3,866069618E1;1,979616165E0;-3,786199093E0;-1,662607431E0
3,875941045E1;2,724347115E0;-3,290446281E0;-7,538414001E-2
3,885805846E1;-1,751088858E0;-1,397199631E-1;3,159713745E0
